feature_name,dtype,feature_group,transform,included_in_X,reason
order_status_shipped_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
order_status_shipped_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_total_quantity_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_total_quantity_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_total_quantity_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_total_quantity_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_gross_item_revenue_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_gross_item_revenue_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_gross_item_revenue_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_gross_item_revenue_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_discount_amount_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_discount_amount_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_discount_amount_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_discount_amount_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_distinct_products_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_distinct_products_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_distinct_products_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_distinct_products_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_estimated_cogs_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_estimated_cogs_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_estimated_cogs_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_estimated_cogs_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_refund_amount_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_refund_amount_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_refund_amount_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_refund_amount_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_quantity_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_quantity_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_quantity_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_return_quantity_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stock_on_hand_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stock_on_hand_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stock_on_hand_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stock_on_hand_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_received_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_received_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_received_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_received_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_sold_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_sold_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_sold_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_units_sold_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stockout_days_sum_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stockout_days_sum_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stockout_days_sum_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_stockout_days_sum_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_days_of_supply_mean_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_days_of_supply_mean_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_days_of_supply_mean_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_days_of_supply_mean_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_fill_rate_mean_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_fill_rate_mean_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_fill_rate_mean_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_fill_rate_mean_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_inventory_product_count_lag_1d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_inventory_product_count_lag_7d,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_inventory_product_count_rolling_7d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
daily_inventory_product_count_rolling_28d_mean,float64,lagged_numeric,lag_or_rolling,True,Model feature
sessions_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
unique_visitors_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
page_views_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
avg_bounce_rate,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
avg_session_duration_sec_mean,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
traffic_source_count,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_order_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_customer_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_source_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_status_cancelled_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_status_created_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_status_delivered_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_status_paid_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_status_returned_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
order_status_shipped_count,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_total_quantity,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_gross_item_revenue,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_discount_amount,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_distinct_products,int64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_estimated_cogs,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_return_count,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_refund_amount,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_return_quantity,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_stock_on_hand_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_units_received_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_units_sold_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_stockout_days_sum,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_days_of_supply_mean,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_fill_rate_mean,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
daily_inventory_product_count,float64,excluded_same_day,excluded,False,Key/target/excluded to avoid leakage
