feature,mean_from_train,std_from_train
visitors_sum_rolling_7d_mean,18196.46352916623,6482.225219142227
visitors_sum_rolling_28d_mean,18218.720612021287,6289.329280901393
visitors_sum_rolling_90d_mean,18287.61247057869,5684.952855387489
page_views_sum_lag_1d,103884.37216946676,41832.59850692214
page_views_sum_lag_7d,103948.96676406136,41839.90970478408
page_views_sum_lag_14d,104038.180788897,41838.951251846716
page_views_sum_lag_28d,104273.3473338203,41820.44302236676
page_views_sum_lag_365d,93164.26004382761,45356.07559921926
page_views_sum_rolling_7d_mean,103916.83528122718,37647.040259110756
page_views_sum_rolling_28d_mean,104058.12430867158,36136.683574477334
page_views_sum_rolling_90d_mean,104467.30360360359,32509.942726107325
bounce_rate_mean_lag_1d,0.004485379839298758,0.0007585118631955453
bounce_rate_mean_lag_7d,0.004486979547114683,0.0007582871398761237
bounce_rate_mean_lag_14d,0.004486687363038714,0.0007586099277145157
bounce_rate_mean_lag_28d,0.004490120525931336,0.0007584257825271472
bounce_rate_mean_lag_365d,0.004479375456537619,0.0007302263231504358
bounce_rate_mean_rolling_7d_mean,0.0044865809245538965,0.00028167576067627615
bounce_rate_mean_rolling_28d_mean,0.004487396561619535,0.00014238422284471359
bounce_rate_mean_rolling_90d_mean,0.004487291534778021,8.387638374674606e-05
sessions_source_direct_lag_1d,1683.5233747260775,6538.338446378228
sessions_source_direct_lag_7d,1683.5233747260775,6538.338446378228
sessions_source_direct_lag_14d,1693.4601899196493,6556.428191083188
sessions_source_direct_lag_28d,1693.4601899196493,6556.428191083188
sessions_source_direct_lag_365d,1539.9521548575603,6074.217892033688
sessions_source_direct_rolling_7d_mean,1683.5233747260775,2503.523791021363
sessions_source_direct_rolling_28d_mean,1690.9759861212565,1376.700441728389
sessions_source_direct_rolling_90d_mean,1709.4541433325217,908.5888884514886
sessions_source_email_campaign_lag_1d,3585.1029948867786,9361.040507959222
sessions_source_email_campaign_lag_7d,3577.8224981738495,9356.071058637217
sessions_source_email_campaign_lag_14d,3581.4287801314827,9363.986313774149
sessions_source_email_campaign_lag_28d,3594.442658875091,9381.044480431945
sessions_source_email_campaign_lag_365d,2986.154127100073,8407.906620482287
sessions_source_email_campaign_rolling_7d_mean,3583.022852968799,3824.117804398517
sessions_source_email_campaign_rolling_28d_mean,3582.9050532192423,2459.0954076635467
sessions_source_email_campaign_rolling_90d_mean,3592.669527635744,1946.3161622705097
sessions_source_organic_search_lag_1d,6917.95434623813,11756.489994710275
sessions_source_organic_search_lag_7d,6914.972607742878,11761.24393120304
sessions_source_organic_search_lag_14d,6917.579254930606,11764.98365434607
sessions_source_organic_search_lag_28d,6939.224616508401,11786.667614985714
sessions_source_organic_search_lag_365d,6211.628560993426,11028.189085062351
sessions_source_organic_search_rolling_7d_mean,6912.6614838776995,4981.104960909914
sessions_source_organic_search_rolling_28d_mean,6924.449546071168,3140.29066066931
sessions_source_organic_search_rolling_90d_mean,6941.393713984255,2247.134759523868
sessions_source_paid_search_lag_1d,5152.515704894084,10635.846966090132
sessions_source_paid_search_lag_7d,5163.288531775018,10644.816467356186
sessions_source_paid_search_lag_14d,5180.6329437545655,10665.660307624103
sessions_source_paid_search_lag_28d,5170.479912344777,10673.679923828051
sessions_source_paid_search_lag_365d,4648.301680058436,10008.30238933703
sessions_source_paid_search_rolling_7d_mean,5159.835229051446,4138.658377514981
sessions_source_paid_search_rolling_28d_mean,5168.140287488261,2534.636317979943
sessions_source_paid_search_rolling_90d_mean,5159.545645645646,1839.2605864597986
sessions_source_referral_lag_1d,2546.953981008035,7967.558407278992
sessions_source_referral_lag_7d,2554.520452885318,7974.972387273157
sessions_source_referral_lag_14d,2547.6314828341856,7969.024956875537
sessions_source_referral_lag_28d,2540.380204528853,7962.301636605217
sessions_source_referral_lag_365d,2234.5142439737033,7284.371465927247
sessions_source_referral_rolling_7d_mean,2552.3586037775226,3036.096268970963
sessions_source_referral_rolling_28d_mean,2545.9257278514033,1630.9041887665778
sessions_source_referral_rolling_90d_mean,2551.145787679571,1048.6625336918692
sessions_source_social_media_lag_1d,4061.6859021183345,9644.591475155581
sessions_source_social_media_lag_7d,4063.8144631117602,9648.325090698812
sessions_source_social_media_lag_14d,4056.982103725347,9644.57473832458
sessions_source_social_media_lag_28d,4082.891526661797,9674.94875229004
sessions_source_social_media_lag_365d,3862.3765522279036,9209.471820141625
sessions_source_social_media_rolling_7d_mean,4060.4091620578106,3884.5962456405673
sessions_source_social_media_rolling_28d_mean,4068.305801940937,2349.0299091077572
sessions_source_social_media_rolling_90d_mean,4116.741895950004,1590.6432982345038
order_count_lag_1d,183.72315558802046,115.1541930682371
order_count_lag_7d,184.2972972972973,115.47163062411302
order_count_lag_14d,184.76150474799124,115.47625211196879
order_count_lag_28d,185.600073046019,115.16172974157584
order_count_lag_365d,197.82067202337473,114.91109007648532
order_count_rolling_7d_mean,183.98653866221434,96.36997377451539
order_count_rolling_28d_mean,184.76634404674948,78.87690375554237
order_count_rolling_90d_mean,187.28244460676893,70.69518897141083
customer_count_lag_1d,182.24287801314827,113.91612379851779
customer_count_lag_7d,182.80971512052594,114.22690189121818
customer_count_lag_14d,183.26953981008035,114.23292340234691
customer_count_lag_28d,184.09824689554418,113.92194985266667
customer_count_lag_365d,196.15047479912346,113.66501431135579
customer_count_rolling_7d_mean,182.50307836794323,95.42478751361529
customer_count_rolling_28d_mean,183.2747573828655,78.2183675630505
customer_count_rolling_90d_mean,185.76515704894084,70.1317133206456
order_source_count_lag_1d,5.996712929145361,0.06331026868852571
order_source_count_lag_7d,5.996712929145361,0.06331026868852571
order_source_count_lag_14d,5.996712929145361,0.06331026868852571
order_source_count_lag_28d,5.997443389335281,0.05728641360977307
order_source_count_lag_365d,5.998904309715121,0.042727236135306955
order_source_count_rolling_7d_mean,5.996712929145361,0.028053981523465898
order_source_count_rolling_28d_mean,5.996752060941251,0.014930690612718373
order_source_count_rolling_90d_mean,5.997362227091957,0.008914251269162683
order_status_cancelled_count_lag_1d,16.87216946676406,11.28864101201725
order_status_cancelled_count_lag_7d,16.928780131482835,11.312693006698572
order_status_cancelled_count_lag_14d,16.972972972972972,11.324812144722875
order_status_cancelled_count_lag_28d,17.058071585098613,11.3005534736944
order_status_cancelled_count_lag_365d,18.14572680788897,11.318081133393258
order_status_cancelled_count_rolling_7d_mean,16.89810080350621,8.9757327182674
order_status_cancelled_count_rolling_28d_mean,16.9749295627674,7.3497456198380045
order_status_cancelled_count_rolling_90d_mean,17.20996672348024,6.5494557599671355
order_status_created_count_lag_1d,1.8484295105916728,1.794533395753561
order_status_created_count_lag_7d,1.856099342585829,1.8023756438736873
order_status_created_count_lag_14d,1.8612125639152666,1.8017631090586537
order_status_created_count_lag_28d,1.868882395909423,1.802439055103561
order_status_created_count_lag_365d,1.9978086194302411,1.83757584944241
order_status_created_count_rolling_7d_mean,1.8514557028070544,1.087867043290854
order_status_created_count_rolling_28d_mean,1.861082124595638,0.7906810221378986
order_status_created_count_rolling_90d_mean,1.8862064767470172,0.6882170723408435
order_status_delivered_count_lag_1d,147.390796201607,92.67265305398571
order_status_delivered_count_lag_7d,147.8466033601169,92.92943168971232
order_status_delivered_count_lag_14d,148.21292914536158,92.92577380997966
order_status_delivered_count_lag_28d,148.86230825420014,92.67694486200833
order_status_delivered_count_lag_365d,158.65230094959824,92.51474912383097
order_status_delivered_count_rolling_7d_mean,147.59892518000626,77.45725214099284
order_status_delivered_count_rolling_28d_mean,148.21343785870812,63.329006815054534
order_status_delivered_count_rolling_90d_mean,150.2221856992127,56.74176610028421
order_status_paid_count_lag_1d,3.6325785244704165,2.87076236888322
order_status_paid_count_lag_7d,3.6460920379839297,2.8757018926729856
order_status_paid_count_lag_14d,3.6614317019722424,2.8818626494316755
order_status_paid_count_lag_28d,3.680788897005113,2.8804589955141373
order_status_paid_count_lag_365d,3.953615777940102,2.913006700882372
order_status_paid_count_rolling_7d_mean,3.6396744234582075,1.9869818971958544
order_status_paid_count_rolling_28d_mean,3.660283835959511,1.5887222995364243
order_status_paid_count_rolling_90d_mean,3.7112572031490956,1.4159820579593205
order_status_returned_count_lag_1d,10.234112490869247,7.040592515145531
order_status_returned_count_lag_7d,10.265887509130753,7.0601164572010475
order_status_returned_count_lag_14d,10.28889700511322,7.058979114672278
order_status_returned_count_lag_28d,10.349525200876553,7.048983176509319
order_status_returned_count_lag_365d,11.052593133674215,7.088109465450525
order_status_returned_count_rolling_7d_mean,10.249139100490451,5.467480236389027
order_status_returned_count_rolling_28d_mean,10.2936449963477,4.442512066272615
order_status_returned_count_rolling_90d_mean,10.440597354110867,3.963608867682185
order_status_shipped_count_lag_1d,3.745069393718042,3.0159761207341447
order_status_shipped_count_lag_7d,3.753834915997078,3.016946699103706
order_status_shipped_count_lag_14d,3.7640613586559533,3.020184420548179
order_status_shipped_count_lag_28d,3.7804967129291454,3.0177333949009126
order_status_shipped_count_lag_365d,4.018626734842951,3.0576037119103074
order_status_shipped_count_rolling_7d_mean,3.749243451946155,2.0580700630106907
order_status_shipped_count_rolling_28d_mean,3.762965668371074,1.5842631030958692
order_status_shipped_count_rolling_90d_mean,3.812231150068988,1.406226110123047
item_quantity_sum_lag_1d,913.8853177501826,579.8902186523131
item_quantity_sum_lag_7d,916.736303871439,581.5458603824367
item_quantity_sum_lag_14d,918.935719503287,581.5922208854399
item_quantity_sum_lag_28d,923.144631117604,580.0149282867369
item_quantity_sum_lag_365d,990.109569028488,580.4213735021785
item_quantity_sum_rolling_7d_mean,915.197015548367,481.2392616041273
item_quantity_sum_rolling_28d_mean,919.0138135239487,388.0261577584259
item_quantity_sum_rolling_90d_mean,931.7275829883938,346.34664217135827
gross_item_revenue_sum_lag_1d,4568881.002231556,2776479.939761281
gross_item_revenue_sum_lag_7d,4580295.75504748,2777560.742151956
gross_item_revenue_sum_lag_14d,4592129.385715851,2775794.510762114
gross_item_revenue_sum_lag_28d,4614796.060861942,2765852.035099409
gross_item_revenue_sum_lag_365d,4808271.58265157,2755536.4581120457
gross_item_revenue_sum_rolling_7d_mean,4574048.814999478,2358690.4802282373
gross_item_revenue_sum_rolling_28d_mean,4592933.943794349,2001127.780648103
gross_item_revenue_sum_rolling_90d_mean,4651713.305703149,1787470.7644128455
discount_amount_sum_lag_1d,222385.69262600437,355991.4725768669
discount_amount_sum_lag_7d,224345.6208035062,359636.8071862149
discount_amount_sum_lag_14d,224569.46428780133,360519.1695713483
discount_amount_sum_lag_28d,223529.66803871442,360846.30349603924
discount_amount_sum_lag_365d,217398.32597516433,362497.21546667174
discount_amount_sum_rolling_7d_mean,223260.9481441094,322921.48173023586
discount_amount_sum_rolling_28d_mean,223989.45976090475,240750.38264741187
discount_amount_sum_rolling_90d_mean,223020.50373610097,75543.73764951919
estimated_cogs_sum_lag_1d,3949690.8326519034,2351335.6940830206
estimated_cogs_sum_lag_7d,3960534.591467561,2354774.8003311977
estimated_cogs_sum_lag_14d,3970165.523341517,2354005.3343813084
estimated_cogs_sum_lag_28d,3987347.9159240867,2345575.9929880193
estimated_cogs_sum_lag_365d,4133542.1729350984,2325812.8018531995
estimated_cogs_sum_rolling_7d_mean,3954588.963704372,1969285.8521877392
estimated_cogs_sum_rolling_28d_mean,3970325.7174503803,1643494.6724247686
estimated_cogs_sum_rolling_90d_mean,4016073.7833135473,1476739.038510517
distinct_product_count_lag_1d,115.04346238130022,45.29115741186657
distinct_product_count_lag_7d,115.263696128561,45.39570513113957
distinct_product_count_lag_14d,115.48831263696128,45.38823765744447
distinct_product_count_lag_28d,115.94886778670562,45.17519520061875
distinct_product_count_lag_365d,121.77392257121987,43.25382451372962
distinct_product_count_rolling_7d_mean,115.14259626421789,38.549191142307585
distinct_product_count_rolling_28d_mean,115.50649587811749,33.3836523445285
distinct_product_count_rolling_90d_mean,116.71641912182453,30.46891060809924
return_count_lag_1d,11.422571219868518,6.089878672858131
return_count_lag_7d,11.452154857560263,6.087722879083565
return_count_lag_14d,11.50036523009496,6.096486995361115
return_count_lag_28d,11.577794010226443,6.106350422517538
return_count_lag_365d,12.300584368151936,5.928992169174321
return_count_rolling_7d_mean,11.449426066993635,5.135602906966024
return_count_rolling_28d_mean,11.515016834476295,4.777560964847375
return_count_rolling_90d_mean,11.680844981283922,4.2782182047443555
return_quantity_sum_lag_1d,31.453250547845144,17.98396269361093
return_quantity_sum_lag_7d,31.535062089116142,17.97134826428004
return_quantity_sum_lag_14d,31.658875091307525,17.97342443368324
return_quantity_sum_lag_28d,31.85500365230095,17.984825297330726
return_quantity_sum_lag_365d,33.82834185536888,17.546465487503095
return_quantity_sum_rolling_7d_mean,31.52587220425058,14.473680558002835
return_quantity_sum_rolling_28d_mean,31.696531802072343,13.317362511140617
return_quantity_sum_rolling_90d_mean,32.14631211743675,11.883527003855301
refund_amount_sum_lag_1d,143291.59898831262,89726.59419720006
refund_amount_sum_lag_7d,143694.8819065011,89695.14441247757
refund_amount_sum_lag_14d,144366.71947041637,89824.17228674026
refund_amount_sum_lag_28d,145079.0500036523,89801.24539683464
refund_amount_sum_lag_365d,149834.3672863404,88745.44748576837
refund_amount_sum_rolling_7d_mean,143686.55573804304,67458.9787468297
refund_amount_sum_rolling_28d_mean,144492.55447945526,61975.39279873972
refund_amount_sum_rolling_90d_mean,146226.30507508124,55031.27134375555
stock_on_hand_sum_lag_1d,92400.81300219138,22054.90330043679
stock_on_hand_sum_lag_7d,92252.04236669102,22160.482011263495
stock_on_hand_sum_lag_14d,92075.40869247627,22288.567899037746
stock_on_hand_sum_lag_28d,91722.14134404674,22538.40247007145
stock_on_hand_sum_lag_365d,81097.96932067203,28582.502926494817
stock_on_hand_sum_rolling_7d_mean,92326.991182302,22094.260491916575
stock_on_hand_sum_rolling_28d_mean,92062.60416884065,22247.954608551157
stock_on_hand_sum_rolling_90d_mean,91225.00497524551,22705.88683987602
units_sold_sum_lag_1d,8162.385682980277,3547.563175477491
units_sold_sum_lag_7d,8183.756026296567,3540.9592319646035
units_sold_sum_lag_14d,8208.851716581446,3533.249109624198
units_sold_sum_lag_28d,8259.043097151205,3517.240836858168
units_sold_sum_lag_365d,8681.581811541271,3356.5521363635175
units_sold_sum_rolling_7d_mean,8173.040801419181,3504.2949867479088
units_sold_sum_rolling_28d_mean,8210.654283627257,3366.238200666302
units_sold_sum_rolling_90d_mean,8318.03195763331,3012.4849688529507
stockout_days_sum_lag_1d,566.4116143170197,84.9029816856289
stockout_days_sum_lag_7d,566.7929145361578,84.57337666421991
stockout_days_sum_lag_14d,567.3758217677137,84.19272192020867
stockout_days_sum_lag_28d,568.5416362308255,83.41397821900082
stockout_days_sum_lag_365d,573.0420014609203,98.74338735962623
stockout_days_sum_rolling_7d_mean,566.576907022853,82.99054690298752
stockout_days_sum_rolling_28d_mean,567.425910466451,76.6826602107399
stockout_days_sum_rolling_90d_mean,569.9029908286666,59.4567237763743
fill_rate_mean_lag_1d,0.9616159247467078,0.004511753308009255
fill_rate_mean_lag_7d,0.9615997521102225,0.004508873588007857
fill_rate_mean_lag_14d,0.9615715695229141,0.004509482375695629
fill_rate_mean_lag_28d,0.961515204348297,0.004510171231154801
fill_rate_mean_lag_365d,0.9603372358530008,0.0049665946934562165
fill_rate_mean_rolling_7d_mean,0.9616095492570915,0.004407364509184748
fill_rate_mean_rolling_28d_mean,0.9615689862047547,0.004071865898523762
fill_rate_mean_rolling_90d_mean,0.9614284945842284,0.003180508128575284
inventory_product_count_lag_1d,490.65704894083274,31.934527061117727
inventory_product_count_lag_7d,490.81044558071585,31.6754102059032
inventory_product_count_lag_14d,490.9945215485756,31.36635688293854
inventory_product_count_lag_28d,491.3626734842951,30.735621530199744
inventory_product_count_lag_365d,481.4211102994887,57.660045441120516
inventory_product_count_rolling_7d_mean,490.732808097673,31.344457399515374
inventory_product_count_rolling_28d_mean,491.00798288636133,29.38703236116764
inventory_product_count_rolling_90d_mean,491.49217190163137,24.632786626886652
review_count_lag_1d,32.81044558071585,14.854877340539751
review_count_lag_7d,32.89225712198685,14.838962821880475
review_count_lag_14d,33.00730460189919,14.822711320248908
review_count_lag_28d,33.205624543462385,14.769118674332793
review_count_lag_365d,35.033601168736304,14.06749361391177
review_count_rolling_7d_mean,32.85208181154127,13.900387521756958
review_count_rolling_28d_mean,33.00836116038819,13.490040773026736
review_count_rolling_90d_mean,33.4481738495252,12.236268668416594
rating_mean_lag_1d,3.935029506949124,0.23231077970790734
rating_mean_lag_7d,3.9352680408679084,0.23189277646358647
rating_mean_lag_14d,3.934885448353359,0.23089291665579148
rating_mean_lag_28d,3.934688154632219,0.229660518559356
rating_mean_lag_365d,3.9308723096916616,0.21879230720903434
rating_mean_rolling_7d_mean,3.9351069103980048,0.09053470473553737
rating_mean_rolling_28d_mean,3.9351042928605273,0.045018226208093474
rating_mean_rolling_90d_mean,3.934777318307523,0.02742709849918589
low_rating_count_lag_1d,4.289262235208181,2.7314929656871736
low_rating_count_lag_7d,4.299853907962016,2.729614041860863
low_rating_count_lag_14d,4.317019722425128,2.7320227744730294
low_rating_count_lag_28d,4.345507669831994,2.732579241494783
low_rating_count_lag_365d,4.611029948867786,2.677989616693615
low_rating_count_rolling_7d_mean,4.295105916727539,1.9824981277917537
low_rating_count_rolling_28d_mean,4.316993634561203,1.8337517761641426
low_rating_count_rolling_90d_mean,4.375509293076861,1.6420406262367582
new_customer_count_lag_1d,29.006939371804236,13.043207869255921
new_customer_count_lag_7d,28.91344046749452,13.035917406709894
new_customer_count_lag_14d,28.81336742147553,13.045263248527174
new_customer_count_lag_28d,28.609934258582907,13.060179555475182
new_customer_count_lag_365d,23.473703433162893,12.813245091691424
new_customer_count_rolling_7d_mean,28.96086820411145,12.074233887832184
new_customer_count_rolling_28d_mean,28.80650631326307,11.969437691773386
new_customer_count_rolling_90d_mean,28.33685577469361,11.952673191598628
