feature,method,fill_value_from_train,train_missing_before,train_missing_after,valid_missing_before,valid_missing_after
bounce_rate_mean_lag_14d,train_median,0.00444,0,0,0,0
bounce_rate_mean_lag_28d,train_median,0.00445,0,0,0,0
bounce_rate_mean_lag_365d,train_median,0.00444,181,0,0,0
bounce_rate_mean_rolling_7d_mean,train_median,0.004487142857142857,0,0,0,0
bounce_rate_mean_rolling_28d_mean,train_median,0.004481607142857143,0,0,0,0
bounce_rate_mean_rolling_90d_mean,train_median,0.004481666666666667,0,0,0,0
sessions_source_direct_lag_1d,fill_0,0.0,0,0,0,0
sessions_source_direct_lag_7d,fill_0,0.0,0,0,0,0
sessions_source_direct_lag_14d,fill_0,0.0,0,0,0,0
sessions_source_direct_lag_28d,fill_0,0.0,0,0,0,0
sessions_source_direct_lag_365d,fill_0,0.0,181,0,0,0
sessions_source_direct_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_source_direct_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_source_direct_rolling_90d_mean,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_lag_1d,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_lag_7d,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_lag_14d,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_lag_28d,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_lag_365d,fill_0,0.0,181,0,0,0
sessions_source_email_campaign_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_source_email_campaign_rolling_90d_mean,fill_0,0.0,0,0,0,0
sessions_source_organic_search_lag_1d,fill_0,0.0,0,0,0,0
sessions_source_organic_search_lag_7d,fill_0,0.0,0,0,0,0
sessions_source_organic_search_lag_14d,fill_0,0.0,0,0,0,0
sessions_source_organic_search_lag_28d,fill_0,0.0,0,0,0,0
sessions_source_organic_search_lag_365d,fill_0,0.0,181,0,0,0
sessions_source_organic_search_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_source_organic_search_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_source_organic_search_rolling_90d_mean,fill_0,0.0,0,0,0,0
sessions_source_paid_search_lag_1d,fill_0,0.0,0,0,0,0
sessions_source_paid_search_lag_7d,fill_0,0.0,0,0,0,0
sessions_source_paid_search_lag_14d,fill_0,0.0,0,0,0,0
sessions_source_paid_search_lag_28d,fill_0,0.0,0,0,0,0
sessions_source_paid_search_lag_365d,fill_0,0.0,181,0,0,0
sessions_source_paid_search_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_source_paid_search_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_source_paid_search_rolling_90d_mean,fill_0,0.0,0,0,0,0
sessions_source_referral_lag_1d,fill_0,0.0,0,0,0,0
sessions_source_referral_lag_7d,fill_0,0.0,0,0,0,0
sessions_source_referral_lag_14d,fill_0,0.0,0,0,0,0
sessions_source_referral_lag_28d,fill_0,0.0,0,0,0,0
sessions_source_referral_lag_365d,fill_0,0.0,181,0,0,0
sessions_source_referral_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_source_referral_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_source_referral_rolling_90d_mean,fill_0,0.0,0,0,0,0
sessions_source_social_media_lag_1d,fill_0,0.0,0,0,0,0
sessions_source_social_media_lag_7d,fill_0,0.0,0,0,0,0
sessions_source_social_media_lag_14d,fill_0,0.0,0,0,0,0
sessions_source_social_media_lag_28d,fill_0,0.0,0,0,0,0
sessions_source_social_media_lag_365d,fill_0,0.0,181,0,0,0
sessions_source_social_media_rolling_7d_mean,fill_0,0.0,0,0,0,0
sessions_source_social_media_rolling_28d_mean,fill_0,0.0,0,0,0,0
sessions_source_social_media_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_count_lag_1d,fill_0,0.0,0,0,0,0
order_count_lag_7d,fill_0,0.0,0,0,0,0
order_count_lag_14d,fill_0,0.0,0,0,0,0
order_count_lag_28d,fill_0,0.0,0,0,0,0
order_count_lag_365d,fill_0,0.0,0,0,0,0
order_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
customer_count_lag_1d,fill_0,0.0,0,0,0,0
customer_count_lag_7d,fill_0,0.0,0,0,0,0
customer_count_lag_14d,fill_0,0.0,0,0,0,0
customer_count_lag_28d,fill_0,0.0,0,0,0,0
customer_count_lag_365d,fill_0,0.0,0,0,0,0
customer_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
customer_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
customer_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_source_count_lag_1d,fill_0,0.0,0,0,0,0
order_source_count_lag_7d,fill_0,0.0,0,0,0,0
order_source_count_lag_14d,fill_0,0.0,0,0,0,0
order_source_count_lag_28d,fill_0,0.0,0,0,0,0
order_source_count_lag_365d,fill_0,0.0,0,0,0,0
order_source_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_source_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_source_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_status_cancelled_count_lag_1d,fill_0,0.0,0,0,0,0
order_status_cancelled_count_lag_7d,fill_0,0.0,0,0,0,0
order_status_cancelled_count_lag_14d,fill_0,0.0,0,0,0,0
order_status_cancelled_count_lag_28d,fill_0,0.0,0,0,0,0
order_status_cancelled_count_lag_365d,fill_0,0.0,0,0,0,0
order_status_cancelled_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_status_cancelled_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_status_cancelled_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_status_created_count_lag_1d,fill_0,0.0,0,0,0,0
order_status_created_count_lag_7d,fill_0,0.0,0,0,0,0
order_status_created_count_lag_14d,fill_0,0.0,0,0,0,0
order_status_created_count_lag_28d,fill_0,0.0,0,0,0,0
order_status_created_count_lag_365d,fill_0,0.0,0,0,0,0
order_status_created_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_status_created_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_status_created_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_status_delivered_count_lag_1d,fill_0,0.0,0,0,0,0
order_status_delivered_count_lag_7d,fill_0,0.0,0,0,0,0
order_status_delivered_count_lag_14d,fill_0,0.0,0,0,0,0
order_status_delivered_count_lag_28d,fill_0,0.0,0,0,0,0
order_status_delivered_count_lag_365d,fill_0,0.0,0,0,0,0
order_status_delivered_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_status_delivered_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_status_delivered_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_status_paid_count_lag_1d,fill_0,0.0,0,0,0,0
order_status_paid_count_lag_7d,fill_0,0.0,0,0,0,0
order_status_paid_count_lag_14d,fill_0,0.0,0,0,0,0
order_status_paid_count_lag_28d,fill_0,0.0,0,0,0,0
order_status_paid_count_lag_365d,fill_0,0.0,0,0,0,0
order_status_paid_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_status_paid_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_status_paid_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_status_returned_count_lag_1d,fill_0,0.0,0,0,0,0
order_status_returned_count_lag_7d,fill_0,0.0,0,0,0,0
order_status_returned_count_lag_14d,fill_0,0.0,0,0,0,0
order_status_returned_count_lag_28d,fill_0,0.0,0,0,0,0
order_status_returned_count_lag_365d,fill_0,0.0,0,0,0,0
order_status_returned_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_status_returned_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_status_returned_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
order_status_shipped_count_lag_1d,fill_0,0.0,0,0,0,0
order_status_shipped_count_lag_7d,fill_0,0.0,0,0,0,0
order_status_shipped_count_lag_14d,fill_0,0.0,0,0,0,0
order_status_shipped_count_lag_28d,fill_0,0.0,0,0,0,0
order_status_shipped_count_lag_365d,fill_0,0.0,0,0,0,0
order_status_shipped_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
order_status_shipped_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
order_status_shipped_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
item_quantity_sum_lag_1d,fill_0,0.0,0,0,0,0
item_quantity_sum_lag_7d,fill_0,0.0,0,0,0,0
item_quantity_sum_lag_14d,fill_0,0.0,0,0,0,0
item_quantity_sum_lag_28d,fill_0,0.0,0,0,0,0
item_quantity_sum_lag_365d,fill_0,0.0,0,0,0,0
item_quantity_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
item_quantity_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
item_quantity_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_lag_1d,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_lag_7d,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_lag_14d,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_lag_28d,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_lag_365d,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
gross_item_revenue_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
discount_amount_sum_lag_1d,fill_0,0.0,0,0,0,0
discount_amount_sum_lag_7d,fill_0,0.0,0,0,0,0
discount_amount_sum_lag_14d,fill_0,0.0,0,0,0,0
discount_amount_sum_lag_28d,fill_0,0.0,0,0,0,0
discount_amount_sum_lag_365d,fill_0,0.0,0,0,0,0
discount_amount_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
discount_amount_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
discount_amount_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
estimated_cogs_sum_lag_1d,fill_0,0.0,0,0,0,0
estimated_cogs_sum_lag_7d,fill_0,0.0,0,0,0,0
estimated_cogs_sum_lag_14d,fill_0,0.0,0,0,0,0
estimated_cogs_sum_lag_28d,fill_0,0.0,0,0,0,0
estimated_cogs_sum_lag_365d,fill_0,0.0,0,0,0,0
estimated_cogs_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
estimated_cogs_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
estimated_cogs_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
distinct_product_count_lag_1d,fill_0,0.0,0,0,0,0
distinct_product_count_lag_7d,fill_0,0.0,0,0,0,0
distinct_product_count_lag_14d,fill_0,0.0,0,0,0,0
distinct_product_count_lag_28d,fill_0,0.0,0,0,0,0
distinct_product_count_lag_365d,fill_0,0.0,0,0,0,0
distinct_product_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
distinct_product_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
distinct_product_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
return_count_lag_1d,fill_0,0.0,8,0,11,0
return_count_lag_7d,fill_0,0.0,8,0,11,0
return_count_lag_14d,fill_0,0.0,8,0,11,0
return_count_lag_28d,fill_0,0.0,8,0,11,0
return_count_lag_365d,fill_0,0.0,9,0,12,0
return_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
return_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
return_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
return_quantity_sum_lag_1d,fill_0,0.0,8,0,11,0
return_quantity_sum_lag_7d,fill_0,0.0,8,0,11,0
return_quantity_sum_lag_14d,fill_0,0.0,8,0,11,0
return_quantity_sum_lag_28d,fill_0,0.0,8,0,11,0
return_quantity_sum_lag_365d,fill_0,0.0,9,0,12,0
return_quantity_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
return_quantity_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
return_quantity_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
refund_amount_sum_lag_1d,fill_0,0.0,8,0,11,0
refund_amount_sum_lag_7d,fill_0,0.0,8,0,11,0
refund_amount_sum_lag_14d,fill_0,0.0,8,0,11,0
refund_amount_sum_lag_28d,fill_0,0.0,8,0,11,0
refund_amount_sum_lag_365d,fill_0,0.0,9,0,12,0
refund_amount_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
refund_amount_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
refund_amount_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
stock_on_hand_sum_lag_1d,fill_0,0.0,0,0,0,0
stock_on_hand_sum_lag_7d,fill_0,0.0,0,0,0,0
stock_on_hand_sum_lag_14d,fill_0,0.0,0,0,0,0
stock_on_hand_sum_lag_28d,fill_0,0.0,0,0,0,0
stock_on_hand_sum_lag_365d,fill_0,0.0,27,0,0,0
stock_on_hand_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
stock_on_hand_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
stock_on_hand_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
units_sold_sum_lag_1d,fill_0,0.0,0,0,0,0
units_sold_sum_lag_7d,fill_0,0.0,0,0,0,0
units_sold_sum_lag_14d,fill_0,0.0,0,0,0,0
units_sold_sum_lag_28d,fill_0,0.0,0,0,0,0
units_sold_sum_lag_365d,fill_0,0.0,27,0,0,0
units_sold_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
units_sold_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
units_sold_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
stockout_days_sum_lag_1d,fill_0,0.0,0,0,0,0
stockout_days_sum_lag_7d,fill_0,0.0,0,0,0,0
stockout_days_sum_lag_14d,fill_0,0.0,0,0,0,0
stockout_days_sum_lag_28d,fill_0,0.0,0,0,0,0
stockout_days_sum_lag_365d,fill_0,0.0,27,0,0,0
stockout_days_sum_rolling_7d_mean,fill_0,0.0,0,0,0,0
stockout_days_sum_rolling_28d_mean,fill_0,0.0,0,0,0,0
stockout_days_sum_rolling_90d_mean,fill_0,0.0,0,0,0,0
fill_rate_mean_lag_1d,train_median,0.9621307692307692,0,0,0,0
fill_rate_mean_lag_7d,train_median,0.9621307692307692,0,0,0,0
fill_rate_mean_lag_14d,train_median,0.9621307692307692,0,0,0,0
fill_rate_mean_lag_28d,train_median,0.9621307692307692,0,0,0,0
fill_rate_mean_lag_365d,train_median,0.9616891257995736,27,0,0,0
fill_rate_mean_rolling_7d_mean,train_median,0.9621348140422841,0,0,0,0
fill_rate_mean_rolling_28d_mean,train_median,0.9621315152571575,0,0,0,0
fill_rate_mean_rolling_90d_mean,train_median,0.9618624362014102,0,0,0,0
inventory_product_count_lag_1d,fill_0,0.0,0,0,0,0
inventory_product_count_lag_7d,fill_0,0.0,0,0,0,0
inventory_product_count_lag_14d,fill_0,0.0,0,0,0,0
inventory_product_count_lag_28d,fill_0,0.0,0,0,0,0
inventory_product_count_lag_365d,fill_0,0.0,27,0,0,0
inventory_product_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
inventory_product_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
inventory_product_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
review_count_lag_1d,fill_0,0.0,0,0,1,0
review_count_lag_7d,fill_0,0.0,0,0,1,0
review_count_lag_14d,fill_0,0.0,0,0,1,0
review_count_lag_28d,fill_0,0.0,0,0,1,0
review_count_lag_365d,fill_0,0.0,7,0,1,0
review_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
review_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
review_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
rating_mean_lag_1d,train_median,3.942582417582418,0,0,1,0
rating_mean_lag_7d,train_median,3.942857142857143,0,0,1,0
rating_mean_lag_14d,train_median,3.941742081447964,0,0,1,0
rating_mean_lag_28d,train_median,3.9423076923076925,0,0,1,0
rating_mean_lag_365d,train_median,3.9411764705882355,7,0,1,0
rating_mean_rolling_7d_mean,train_median,3.938608335551022,0,0,0,0
rating_mean_rolling_28d_mean,train_median,3.9344648163846463,0,0,0,0
rating_mean_rolling_90d_mean,train_median,3.9341981688490977,0,0,0,0
low_rating_count_lag_1d,fill_0,0.0,0,0,1,0
low_rating_count_lag_7d,fill_0,0.0,0,0,1,0
low_rating_count_lag_14d,fill_0,0.0,0,0,1,0
low_rating_count_lag_28d,fill_0,0.0,0,0,1,0
low_rating_count_lag_365d,fill_0,0.0,7,0,1,0
low_rating_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
low_rating_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
low_rating_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
new_customer_count_lag_1d,fill_0,0.0,0,0,0,0
new_customer_count_lag_7d,fill_0,0.0,0,0,0,0
new_customer_count_lag_14d,fill_0,0.0,0,0,0,0
new_customer_count_lag_28d,fill_0,0.0,0,0,0,0
new_customer_count_lag_365d,fill_0,0.0,5,0,0,0
new_customer_count_rolling_7d_mean,fill_0,0.0,0,0,0,0
new_customer_count_rolling_28d_mean,fill_0,0.0,0,0,0,0
new_customer_count_rolling_90d_mean,fill_0,0.0,0,0,0,0
