feature_name,source_table,source_date_column,prediction_date_column,leakage_risk,default_action,reason
daily_customer_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_customer_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_source_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_source_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_source_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_source_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_cancelled_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_cancelled_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_cancelled_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_cancelled_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_created_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_created_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_created_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_created_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_delivered_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_delivered_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_delivered_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_delivered_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_paid_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_paid_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_paid_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_paid_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_returned_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_returned_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_returned_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_returned_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_shipped_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_shipped_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_shipped_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
order_status_shipped_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_total_quantity_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_total_quantity_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_total_quantity_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_total_quantity_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_gross_item_revenue_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_gross_item_revenue_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_gross_item_revenue_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_gross_item_revenue_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_discount_amount_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_discount_amount_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_discount_amount_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_discount_amount_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_distinct_products_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_distinct_products_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_distinct_products_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_distinct_products_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_estimated_cogs_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_estimated_cogs_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_estimated_cogs_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_estimated_cogs_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_refund_amount_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_refund_amount_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_refund_amount_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_refund_amount_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_quantity_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_quantity_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_quantity_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_return_quantity_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stock_on_hand_sum_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stock_on_hand_sum_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stock_on_hand_sum_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stock_on_hand_sum_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_received_sum_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_received_sum_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_received_sum_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_received_sum_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_sold_sum_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_sold_sum_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_sold_sum_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_units_sold_sum_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stockout_days_sum_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stockout_days_sum_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stockout_days_sum_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_stockout_days_sum_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_days_of_supply_mean_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_days_of_supply_mean_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_days_of_supply_mean_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_days_of_supply_mean_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_fill_rate_mean_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_fill_rate_mean_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_fill_rate_mean_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_fill_rate_mean_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_inventory_product_count_lag_1d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_inventory_product_count_lag_7d,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_inventory_product_count_rolling_7d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
daily_inventory_product_count_rolling_28d_mean,daily_source_aggregate,Date,Date,low,include,Created with shift/rolling before model use
