feature_name,missing_before,missing_after,imputation_method,reason
order_status_shipped_count_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_total_quantity_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_total_quantity_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_total_quantity_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_total_quantity_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_gross_item_revenue_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_gross_item_revenue_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_gross_item_revenue_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_gross_item_revenue_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_discount_amount_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_discount_amount_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_discount_amount_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_discount_amount_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_distinct_products_lag_1d,1,0,fill_median,Numeric feature fallback
daily_distinct_products_lag_7d,7,0,fill_median,Numeric feature fallback
daily_distinct_products_rolling_7d_mean,1,0,fill_median,Numeric feature fallback
daily_distinct_products_rolling_28d_mean,1,0,fill_median,Numeric feature fallback
daily_estimated_cogs_lag_1d,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_estimated_cogs_lag_7d,7,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_estimated_cogs_rolling_7d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_estimated_cogs_rolling_28d_mean,1,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_count_lag_1d,28,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_count_lag_7d,34,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_count_rolling_7d_mean,8,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_count_rolling_28d_mean,8,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_refund_amount_lag_1d,28,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_refund_amount_lag_7d,34,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_refund_amount_rolling_7d_mean,8,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_refund_amount_rolling_28d_mean,8,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_quantity_lag_1d,28,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_quantity_lag_7d,34,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_quantity_rolling_7d_mean,8,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_return_quantity_rolling_28d_mean,8,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stock_on_hand_sum_lag_1d,3708,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stock_on_hand_sum_lag_7d,3708,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stock_on_hand_sum_rolling_7d_mean,2958,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stock_on_hand_sum_rolling_28d_mean,333,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_units_received_sum_lag_1d,3708,0,fill_median,Numeric feature fallback
daily_units_received_sum_lag_7d,3708,0,fill_median,Numeric feature fallback
daily_units_received_sum_rolling_7d_mean,2958,0,fill_median,Numeric feature fallback
daily_units_received_sum_rolling_28d_mean,333,0,fill_median,Numeric feature fallback
daily_units_sold_sum_lag_1d,3708,0,fill_median,Numeric feature fallback
daily_units_sold_sum_lag_7d,3708,0,fill_median,Numeric feature fallback
daily_units_sold_sum_rolling_7d_mean,2958,0,fill_median,Numeric feature fallback
daily_units_sold_sum_rolling_28d_mean,333,0,fill_median,Numeric feature fallback
daily_stockout_days_sum_lag_1d,3708,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stockout_days_sum_lag_7d,3708,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stockout_days_sum_rolling_7d_mean,2958,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_stockout_days_sum_rolling_28d_mean,333,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_days_of_supply_mean_lag_1d,3708,0,fill_median,Numeric feature fallback
daily_days_of_supply_mean_lag_7d,3708,0,fill_median,Numeric feature fallback
daily_days_of_supply_mean_rolling_7d_mean,2958,0,fill_median,Numeric feature fallback
daily_days_of_supply_mean_rolling_28d_mean,333,0,fill_median,Numeric feature fallback
daily_fill_rate_mean_lag_1d,3708,0,fill_median,Numeric feature fallback
daily_fill_rate_mean_lag_7d,3708,0,fill_median,Numeric feature fallback
daily_fill_rate_mean_rolling_7d_mean,2958,0,fill_median,Numeric feature fallback
daily_fill_rate_mean_rolling_28d_mean,333,0,fill_median,Numeric feature fallback
daily_inventory_product_count_lag_1d,3708,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_inventory_product_count_lag_7d,3708,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_inventory_product_count_rolling_7d_mean,2958,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
daily_inventory_product_count_rolling_28d_mean,333,0,fill_0,Lag/rolling or absence-of-event missing filled with 0 for model readiness
