feature,missing_pct,nunique,dtype,selected
page_views_sum_rolling_90d_mean,4.75,3650,float64,True
bounce_rate_mean_lag_1d,4.75,261,float64,True
bounce_rate_mean_lag_7d,4.9,261,float64,True
bounce_rate_mean_lag_14d,5.09,261,float64,True
bounce_rate_mean_lag_28d,5.45,261,float64,True
bounce_rate_mean_lag_365d,14.24,261,float64,True
bounce_rate_mean_rolling_7d_mean,4.75,1150,float64,True
bounce_rate_mean_rolling_28d_mean,4.75,1738,float64,True
bounce_rate_mean_rolling_90d_mean,4.75,2393,float64,True
sessions_source_direct_lag_1d,4.75,265,float64,True
sessions_source_direct_lag_7d,4.9,263,float64,True
sessions_source_direct_lag_14d,5.09,262,float64,True
sessions_source_direct_lag_28d,5.45,261,float64,True
sessions_source_direct_lag_365d,14.24,239,float64,True
sessions_source_direct_rolling_7d_mean,4.75,359,float64,True
sessions_source_direct_rolling_28d_mean,4.75,507,float64,True
sessions_source_direct_rolling_90d_mean,4.75,578,float64,True
sessions_source_email_campaign_lag_1d,4.75,503,float64,True
sessions_source_email_campaign_lag_7d,4.9,502,float64,True
sessions_source_email_campaign_lag_14d,5.09,500,float64,True
sessions_source_email_campaign_lag_28d,5.45,499,float64,True
sessions_source_email_campaign_lag_365d,14.24,458,float64,True
sessions_source_email_campaign_rolling_7d_mean,4.75,761,float64,True
sessions_source_email_campaign_rolling_28d_mean,4.75,926,float64,True
sessions_source_email_campaign_rolling_90d_mean,4.75,988,float64,True
sessions_source_organic_search_lag_1d,4.75,1072,float64,True
sessions_source_organic_search_lag_7d,4.9,1070,float64,True
sessions_source_organic_search_lag_14d,5.09,1068,float64,True
sessions_source_organic_search_lag_28d,5.45,1063,float64,True
sessions_source_organic_search_lag_365d,14.24,955,float64,True
sessions_source_organic_search_rolling_7d_mean,4.75,1738,float64,True
sessions_source_organic_search_rolling_28d_mean,4.75,1862,float64,True
sessions_source_organic_search_rolling_90d_mean,4.75,1882,float64,True
sessions_source_paid_search_lag_1d,4.75,775,float64,True
sessions_source_paid_search_lag_7d,4.9,774,float64,True
sessions_source_paid_search_lag_14d,5.09,774,float64,True
sessions_source_paid_search_lag_28d,5.45,770,float64,True
sessions_source_paid_search_lag_365d,14.24,692,float64,True
sessions_source_paid_search_rolling_7d_mean,4.75,1244,float64,True
sessions_source_paid_search_rolling_28d_mean,4.75,1396,float64,True
sessions_source_paid_search_rolling_90d_mean,4.75,1451,float64,True
sessions_source_referral_lag_1d,4.75,373,float64,True
sessions_source_referral_lag_7d,4.9,373,float64,True
sessions_source_referral_lag_14d,5.09,373,float64,True
sessions_source_referral_lag_28d,5.45,373,float64,True
sessions_source_referral_lag_365d,14.24,348,float64,True
sessions_source_referral_rolling_7d_mean,4.75,525,float64,True
sessions_source_referral_rolling_28d_mean,4.75,714,float64,True
sessions_source_referral_rolling_90d_mean,4.75,777,float64,True
sessions_source_social_media_lag_1d,4.75,627,float64,True
sessions_source_social_media_lag_7d,4.9,627,float64,True
sessions_source_social_media_lag_14d,5.09,625,float64,True
sessions_source_social_media_lag_28d,5.45,622,float64,True
sessions_source_social_media_lag_365d,14.24,563,float64,True
sessions_source_social_media_rolling_7d_mean,4.75,978,float64,True
sessions_source_social_media_rolling_28d_mean,4.75,1165,float64,True
sessions_source_social_media_rolling_90d_mean,4.75,1197,float64,True
order_count_lag_1d,0.03,499,float64,True
order_count_lag_7d,0.18,499,float64,True
order_count_lag_14d,0.37,499,float64,True
order_count_lag_28d,0.73,499,float64,True
order_count_lag_365d,9.52,498,float64,True
order_count_rolling_7d_mean,0.03,1796,float64,True
order_count_rolling_28d_mean,0.03,2992,float64,True
order_count_rolling_90d_mean,0.03,3522,float64,True
customer_count_lag_1d,0.03,497,float64,True
customer_count_lag_7d,0.18,497,float64,True
customer_count_lag_14d,0.37,497,float64,True
customer_count_lag_28d,0.73,497,float64,True
customer_count_lag_365d,9.52,497,float64,True
customer_count_rolling_7d_mean,0.03,1804,float64,True
customer_count_rolling_28d_mean,0.03,2959,float64,True
customer_count_rolling_90d_mean,0.03,3483,float64,True
order_source_count_lag_1d,0.03,3,float64,True
order_source_count_lag_7d,0.18,3,float64,True
order_source_count_lag_14d,0.37,3,float64,True
order_source_count_lag_28d,0.73,3,float64,True
order_source_count_lag_365d,9.52,3,float64,True
order_source_count_rolling_7d_mean,0.03,4,float64,True
order_source_count_rolling_28d_mean,0.03,4,float64,True
order_source_count_rolling_90d_mean,0.03,8,float64,True
order_status_cancelled_count_lag_1d,0.03,71,float64,True
order_status_cancelled_count_lag_7d,0.18,71,float64,True
order_status_cancelled_count_lag_14d,0.37,71,float64,True
order_status_cancelled_count_lag_28d,0.73,71,float64,True
order_status_cancelled_count_lag_365d,9.52,71,float64,True
order_status_cancelled_count_rolling_7d_mean,0.03,304,float64,True
order_status_cancelled_count_rolling_28d_mean,0.03,807,float64,True
order_status_cancelled_count_rolling_90d_mean,0.03,1807,float64,True
order_status_created_count_lag_1d,0.03,13,float64,True
order_status_created_count_lag_7d,0.18,13,float64,True
order_status_created_count_lag_14d,0.37,13,float64,True
order_status_created_count_lag_28d,0.73,13,float64,True
order_status_created_count_lag_365d,9.52,13,float64,True
order_status_created_count_rolling_7d_mean,0.03,47,float64,True
order_status_created_count_rolling_28d_mean,0.03,120,float64,True
order_status_created_count_rolling_90d_mean,0.03,321,float64,True
order_status_delivered_count_lag_1d,0.03,430,float64,True
order_status_delivered_count_lag_7d,0.18,430,float64,True
order_status_delivered_count_lag_14d,0.37,430,float64,True
order_status_delivered_count_lag_28d,0.73,430,float64,True
order_status_delivered_count_lag_365d,9.52,430,float64,True
order_status_delivered_count_rolling_7d_mean,0.03,1585,float64,True
order_status_delivered_count_rolling_28d_mean,0.03,2827,float64,True
order_status_delivered_count_rolling_90d_mean,0.03,3438,float64,True
order_status_paid_count_lag_1d,0.03,19,float64,True
order_status_paid_count_lag_7d,0.18,19,float64,True
order_status_paid_count_lag_14d,0.37,19,float64,True
order_status_paid_count_lag_28d,0.73,19,float64,True
order_status_paid_count_lag_365d,9.52,19,float64,True
order_status_paid_count_rolling_7d_mean,0.03,81,float64,True
order_status_paid_count_rolling_28d_mean,0.03,200,float64,True
order_status_paid_count_rolling_90d_mean,0.03,559,float64,True
order_status_returned_count_lag_1d,0.03,47,float64,True
order_status_returned_count_lag_7d,0.18,47,float64,True
order_status_returned_count_lag_14d,0.37,47,float64,True
order_status_returned_count_lag_28d,0.73,47,float64,True
order_status_returned_count_lag_365d,9.52,47,float64,True
order_status_returned_count_rolling_7d_mean,0.03,201,float64,True
order_status_returned_count_rolling_28d_mean,0.03,523,float64,True
order_status_returned_count_rolling_90d_mean,0.03,1299,float64,True
order_status_shipped_count_lag_1d,0.03,22,float64,True
order_status_shipped_count_lag_7d,0.18,22,float64,True
order_status_shipped_count_lag_14d,0.37,22,float64,True
order_status_shipped_count_lag_28d,0.73,22,float64,True
order_status_shipped_count_lag_365d,9.52,22,float64,True
order_status_shipped_count_rolling_7d_mean,0.03,86,float64,True
order_status_shipped_count_rolling_28d_mean,0.03,201,float64,True
order_status_shipped_count_rolling_90d_mean,0.03,550,float64,True
item_quantity_sum_lag_1d,0.03,1536,float64,True
item_quantity_sum_lag_7d,0.18,1536,float64,True
item_quantity_sum_lag_14d,0.37,1536,float64,True
item_quantity_sum_lag_28d,0.73,1534,float64,True
item_quantity_sum_lag_365d,9.52,1515,float64,True
item_quantity_sum_rolling_7d_mean,0.03,3203,float64,True
item_quantity_sum_rolling_28d_mean,0.03,3618,float64,True
item_quantity_sum_rolling_90d_mean,0.03,3757,float64,True
gross_item_revenue_sum_lag_1d,0.03,3832,float64,True
gross_item_revenue_sum_lag_7d,0.18,3826,float64,True
gross_item_revenue_sum_lag_14d,0.37,3819,float64,True
gross_item_revenue_sum_lag_28d,0.73,3805,float64,True
gross_item_revenue_sum_lag_365d,9.52,3468,float64,True
gross_item_revenue_sum_rolling_7d_mean,0.03,3832,float64,True
gross_item_revenue_sum_rolling_28d_mean,0.03,3832,float64,True
gross_item_revenue_sum_rolling_90d_mean,0.03,3832,float64,True
discount_amount_sum_lag_1d,0.03,1680,float64,True
discount_amount_sum_lag_7d,0.18,1674,float64,True
discount_amount_sum_lag_14d,0.37,1667,float64,True
discount_amount_sum_lag_28d,0.73,1653,float64,True
discount_amount_sum_lag_365d,9.52,1542,float64,True
discount_amount_sum_rolling_7d_mean,0.03,1966,float64,True
discount_amount_sum_rolling_28d_mean,0.03,2740,float64,True
discount_amount_sum_rolling_90d_mean,0.03,2439,float64,True
estimated_cogs_sum_lag_1d,0.03,3832,float64,True
estimated_cogs_sum_lag_7d,0.18,3826,float64,True
estimated_cogs_sum_lag_14d,0.37,3819,float64,True
estimated_cogs_sum_lag_28d,0.73,3805,float64,True
estimated_cogs_sum_lag_365d,9.52,3468,float64,True
estimated_cogs_sum_rolling_7d_mean,0.03,3832,float64,True
estimated_cogs_sum_rolling_28d_mean,0.03,3832,float64,True
estimated_cogs_sum_rolling_90d_mean,0.03,3832,float64,True
distinct_product_count_lag_1d,0.03,241,float64,True
distinct_product_count_lag_7d,0.18,241,float64,True
distinct_product_count_lag_14d,0.37,241,float64,True
distinct_product_count_lag_28d,0.73,241,float64,True
distinct_product_count_lag_365d,9.52,241,float64,True
distinct_product_count_rolling_7d_mean,0.03,1100,float64,True
distinct_product_count_rolling_28d_mean,0.03,2303,float64,True
distinct_product_count_rolling_90d_mean,0.03,3179,float64,True
return_count_lag_1d,0.73,34,float64,True
return_count_lag_7d,0.89,34,float64,True
return_count_lag_14d,1.07,34,float64,True
return_count_lag_28d,1.43,34,float64,True
return_count_lag_365d,10.07,34,float64,True
return_count_rolling_7d_mean,0.21,191,float64,True
return_count_rolling_28d_mean,0.21,677,float64,True
return_count_rolling_90d_mean,0.21,1684,float64,True
return_quantity_sum_lag_1d,0.73,96,float64,True
return_quantity_sum_lag_7d,0.89,96,float64,True
return_quantity_sum_lag_14d,1.07,96,float64,True
return_quantity_sum_lag_28d,1.43,96,float64,True
return_quantity_sum_lag_365d,10.07,96,float64,True
return_quantity_sum_rolling_7d_mean,0.21,490,float64,True
return_quantity_sum_rolling_28d_mean,0.21,1479,float64,True
return_quantity_sum_rolling_90d_mean,0.21,2639,float64,True
refund_amount_sum_lag_1d,0.73,3805,float64,True
refund_amount_sum_lag_7d,0.89,3799,float64,True
refund_amount_sum_lag_14d,1.07,3792,float64,True
refund_amount_sum_lag_28d,1.43,3778,float64,True
refund_amount_sum_lag_365d,10.07,3447,float64,True
refund_amount_sum_rolling_7d_mean,0.21,3824,float64,True
refund_amount_sum_rolling_28d_mean,0.21,3823,float64,True
refund_amount_sum_rolling_90d_mean,0.21,3824,float64,True
stock_on_hand_sum_lag_1d,0.73,125,float64,True
stock_on_hand_sum_lag_7d,0.89,125,float64,True
stock_on_hand_sum_lag_14d,1.07,125,float64,True
stock_on_hand_sum_lag_28d,1.43,125,float64,True
stock_on_hand_sum_lag_365d,10.23,114,float64,True
stock_on_hand_sum_rolling_7d_mean,0.73,868,float64,True
stock_on_hand_sum_rolling_28d_mean,0.73,3470,float64,True
stock_on_hand_sum_rolling_90d_mean,0.73,3774,float64,True
units_sold_sum_lag_1d,0.73,123,float64,True
units_sold_sum_lag_7d,0.89,123,float64,True
units_sold_sum_lag_14d,1.07,123,float64,True
units_sold_sum_lag_28d,1.43,123,float64,True
units_sold_sum_lag_365d,10.23,112,float64,True
units_sold_sum_rolling_7d_mean,0.73,863,float64,True
units_sold_sum_rolling_28d_mean,0.73,3449,float64,True
units_sold_sum_rolling_90d_mean,0.73,3767,float64,True
stockout_days_sum_lag_1d,0.73,103,float64,True
stockout_days_sum_lag_7d,0.89,103,float64,True
stockout_days_sum_lag_14d,1.07,103,float64,True
stockout_days_sum_lag_28d,1.43,103,float64,True
stockout_days_sum_lag_365d,10.23,97,float64,True
stockout_days_sum_rolling_7d_mean,0.73,693,float64,True
stockout_days_sum_rolling_28d_mean,0.73,2683,float64,True
stockout_days_sum_rolling_90d_mean,0.73,3404,float64,True
fill_rate_mean_lag_1d,0.73,125,float64,True
fill_rate_mean_lag_7d,0.89,125,float64,True
fill_rate_mean_lag_14d,1.07,125,float64,True
fill_rate_mean_lag_28d,1.43,125,float64,True
fill_rate_mean_lag_365d,10.23,114,float64,True
fill_rate_mean_rolling_7d_mean,0.73,869,float64,True
fill_rate_mean_rolling_28d_mean,0.73,3473,float64,True
fill_rate_mean_rolling_90d_mean,0.73,3775,float64,True
inventory_product_count_lag_1d,0.73,85,float64,True
inventory_product_count_lag_7d,0.89,85,float64,True
inventory_product_count_lag_14d,1.07,85,float64,True
inventory_product_count_lag_28d,1.43,85,float64,True
inventory_product_count_lag_365d,10.23,80,float64,True
inventory_product_count_rolling_7d_mean,0.73,573,float64,True
inventory_product_count_rolling_28d_mean,0.73,2034,float64,True
inventory_product_count_rolling_90d_mean,0.73,3147,float64,True
review_count_lag_1d,0.23,76,float64,True
review_count_lag_7d,0.39,76,float64,True
review_count_lag_14d,0.57,76,float64,True
review_count_lag_28d,0.94,76,float64,True
review_count_lag_365d,9.73,76,float64,True
review_count_rolling_7d_mean,0.18,407,float64,True
review_count_rolling_28d_mean,0.18,1324,float64,True
review_count_rolling_90d_mean,0.18,2460,float64,True
rating_mean_lag_1d,0.23,831,float64,True
rating_mean_lag_7d,0.39,831,float64,True
rating_mean_lag_14d,0.57,831,float64,True
rating_mean_lag_28d,0.94,830,float64,True
rating_mean_lag_365d,9.73,825,float64,True
rating_mean_rolling_7d_mean,0.18,3787,float64,True
rating_mean_rolling_28d_mean,0.18,3793,float64,True
rating_mean_rolling_90d_mean,0.18,3789,float64,True
low_rating_count_lag_1d,0.23,16,float64,True
low_rating_count_lag_7d,0.39,16,float64,True
low_rating_count_lag_14d,0.57,16,float64,True
low_rating_count_lag_28d,0.94,16,float64,True
low_rating_count_lag_365d,9.73,16,float64,True
low_rating_count_rolling_7d_mean,0.18,79,float64,True
low_rating_count_rolling_28d_mean,0.18,246,float64,True
low_rating_count_rolling_90d_mean,0.18,707,float64,True
new_customer_count_lag_1d,0.16,78,float64,True
new_customer_count_lag_7d,0.31,78,float64,True
new_customer_count_lag_14d,0.5,78,float64,True
new_customer_count_lag_28d,0.86,78,float64,True
new_customer_count_lag_365d,9.65,72,float64,True
new_customer_count_rolling_7d_mean,0.03,451,float64,True
new_customer_count_rolling_28d_mean,0.03,1431,float64,True
new_customer_count_rolling_90d_mean,0.03,2453,float64,True
