feature_name,included_in_X,feature_group,reason
daily_order_count_lag_1d,True,lagged_numeric,Model feature
daily_order_count_lag_7d,True,lagged_numeric,Model feature
daily_order_count_rolling_7d_mean,True,lagged_numeric,Model feature
daily_order_count_rolling_28d_mean,True,lagged_numeric,Model feature
daily_customer_count_lag_1d,True,lagged_numeric,Model feature
daily_customer_count_lag_7d,True,lagged_numeric,Model feature
daily_customer_count_rolling_7d_mean,True,lagged_numeric,Model feature
daily_customer_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_source_count_lag_1d,True,lagged_numeric,Model feature
order_source_count_lag_7d,True,lagged_numeric,Model feature
order_source_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_source_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_status_cancelled_count_lag_1d,True,lagged_numeric,Model feature
order_status_cancelled_count_lag_7d,True,lagged_numeric,Model feature
order_status_cancelled_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_status_cancelled_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_status_created_count_lag_1d,True,lagged_numeric,Model feature
order_status_created_count_lag_7d,True,lagged_numeric,Model feature
order_status_created_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_status_created_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_status_delivered_count_lag_1d,True,lagged_numeric,Model feature
order_status_delivered_count_lag_7d,True,lagged_numeric,Model feature
order_status_delivered_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_status_delivered_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_status_paid_count_lag_1d,True,lagged_numeric,Model feature
order_status_paid_count_lag_7d,True,lagged_numeric,Model feature
order_status_paid_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_status_paid_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_status_returned_count_lag_1d,True,lagged_numeric,Model feature
order_status_returned_count_lag_7d,True,lagged_numeric,Model feature
order_status_returned_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_status_returned_count_rolling_28d_mean,True,lagged_numeric,Model feature
order_status_shipped_count_lag_1d,True,lagged_numeric,Model feature
order_status_shipped_count_lag_7d,True,lagged_numeric,Model feature
order_status_shipped_count_rolling_7d_mean,True,lagged_numeric,Model feature
order_status_shipped_count_rolling_28d_mean,True,lagged_numeric,Model feature
daily_total_quantity_lag_1d,True,lagged_numeric,Model feature
daily_total_quantity_lag_7d,True,lagged_numeric,Model feature
daily_total_quantity_rolling_7d_mean,True,lagged_numeric,Model feature
daily_total_quantity_rolling_28d_mean,True,lagged_numeric,Model feature
daily_gross_item_revenue_lag_1d,True,lagged_numeric,Model feature
daily_gross_item_revenue_lag_7d,True,lagged_numeric,Model feature
daily_gross_item_revenue_rolling_7d_mean,True,lagged_numeric,Model feature
daily_gross_item_revenue_rolling_28d_mean,True,lagged_numeric,Model feature
daily_discount_amount_lag_1d,True,lagged_numeric,Model feature
daily_discount_amount_lag_7d,True,lagged_numeric,Model feature
daily_discount_amount_rolling_7d_mean,True,lagged_numeric,Model feature
daily_discount_amount_rolling_28d_mean,True,lagged_numeric,Model feature
daily_estimated_cogs_lag_1d,True,lagged_numeric,Model feature
daily_estimated_cogs_lag_7d,True,lagged_numeric,Model feature
daily_estimated_cogs_rolling_7d_mean,True,lagged_numeric,Model feature
daily_estimated_cogs_rolling_28d_mean,True,lagged_numeric,Model feature
daily_distinct_products_lag_1d,True,lagged_numeric,Model feature
daily_distinct_products_lag_7d,True,lagged_numeric,Model feature
daily_distinct_products_rolling_7d_mean,True,lagged_numeric,Model feature
daily_distinct_products_rolling_28d_mean,True,lagged_numeric,Model feature
daily_return_count_lag_1d,True,lagged_numeric,Model feature
daily_return_count_lag_7d,True,lagged_numeric,Model feature
daily_return_count_rolling_7d_mean,True,lagged_numeric,Model feature
daily_return_count_rolling_28d_mean,True,lagged_numeric,Model feature
daily_return_quantity_lag_1d,True,lagged_numeric,Model feature
daily_return_quantity_lag_7d,True,lagged_numeric,Model feature
daily_return_quantity_rolling_7d_mean,True,lagged_numeric,Model feature
daily_return_quantity_rolling_28d_mean,True,lagged_numeric,Model feature
daily_refund_amount_lag_1d,True,lagged_numeric,Model feature
daily_refund_amount_lag_7d,True,lagged_numeric,Model feature
daily_refund_amount_rolling_7d_mean,True,lagged_numeric,Model feature
daily_refund_amount_rolling_28d_mean,True,lagged_numeric,Model feature
daily_stock_on_hand_sum_lag_1d,True,lagged_numeric,Model feature
daily_stock_on_hand_sum_lag_7d,True,lagged_numeric,Model feature
daily_stock_on_hand_sum_rolling_7d_mean,True,lagged_numeric,Model feature
daily_stock_on_hand_sum_rolling_28d_mean,True,lagged_numeric,Model feature
daily_units_received_sum_lag_1d,True,lagged_numeric,Model feature
daily_units_received_sum_lag_7d,True,lagged_numeric,Model feature
daily_units_received_sum_rolling_7d_mean,True,lagged_numeric,Model feature
daily_units_received_sum_rolling_28d_mean,True,lagged_numeric,Model feature
daily_units_sold_sum_lag_1d,True,lagged_numeric,Model feature
daily_units_sold_sum_lag_7d,True,lagged_numeric,Model feature
daily_units_sold_sum_rolling_7d_mean,True,lagged_numeric,Model feature
daily_units_sold_sum_rolling_28d_mean,True,lagged_numeric,Model feature
daily_stockout_days_sum_lag_1d,True,lagged_numeric,Model feature
daily_stockout_days_sum_lag_7d,True,lagged_numeric,Model feature
daily_stockout_days_sum_rolling_7d_mean,True,lagged_numeric,Model feature
daily_stockout_days_sum_rolling_28d_mean,True,lagged_numeric,Model feature
daily_days_of_supply_mean_lag_1d,True,lagged_numeric,Model feature
daily_days_of_supply_mean_lag_7d,True,lagged_numeric,Model feature
daily_days_of_supply_mean_rolling_7d_mean,True,lagged_numeric,Model feature
daily_days_of_supply_mean_rolling_28d_mean,True,lagged_numeric,Model feature
daily_fill_rate_mean_lag_1d,True,lagged_numeric,Model feature
daily_fill_rate_mean_lag_7d,True,lagged_numeric,Model feature
daily_fill_rate_mean_rolling_7d_mean,True,lagged_numeric,Model feature
daily_fill_rate_mean_rolling_28d_mean,True,lagged_numeric,Model feature
daily_inventory_product_count_lag_1d,True,lagged_numeric,Model feature
daily_inventory_product_count_lag_7d,True,lagged_numeric,Model feature
daily_inventory_product_count_rolling_7d_mean,True,lagged_numeric,Model feature
daily_inventory_product_count_rolling_28d_mean,True,lagged_numeric,Model feature
sessions_sum,False,excluded_same_day,Key/target/leakage exclusion
unique_visitors_sum,False,excluded_same_day,Key/target/leakage exclusion
page_views_sum,False,excluded_same_day,Key/target/leakage exclusion
avg_bounce_rate,False,excluded_same_day,Key/target/leakage exclusion
avg_session_duration_sec_mean,False,excluded_same_day,Key/target/leakage exclusion
traffic_source_count,False,excluded_same_day,Key/target/leakage exclusion
daily_order_count,False,excluded_same_day,Key/target/leakage exclusion
daily_customer_count,False,excluded_same_day,Key/target/leakage exclusion
order_source_count,False,excluded_same_day,Key/target/leakage exclusion
order_status_cancelled_count,False,excluded_same_day,Key/target/leakage exclusion
order_status_created_count,False,excluded_same_day,Key/target/leakage exclusion
order_status_delivered_count,False,excluded_same_day,Key/target/leakage exclusion
order_status_paid_count,False,excluded_same_day,Key/target/leakage exclusion
order_status_returned_count,False,excluded_same_day,Key/target/leakage exclusion
order_status_shipped_count,False,excluded_same_day,Key/target/leakage exclusion
daily_total_quantity,False,excluded_same_day,Key/target/leakage exclusion
daily_gross_item_revenue,False,excluded_same_day,Key/target/leakage exclusion
daily_discount_amount,False,excluded_same_day,Key/target/leakage exclusion
daily_estimated_cogs,False,excluded_same_day,Key/target/leakage exclusion
daily_distinct_products,False,excluded_same_day,Key/target/leakage exclusion
daily_return_count,False,excluded_same_day,Key/target/leakage exclusion
daily_return_quantity,False,excluded_same_day,Key/target/leakage exclusion
daily_refund_amount,False,excluded_same_day,Key/target/leakage exclusion
daily_stock_on_hand_sum,False,excluded_same_day,Key/target/leakage exclusion
daily_units_received_sum,False,excluded_same_day,Key/target/leakage exclusion
daily_units_sold_sum,False,excluded_same_day,Key/target/leakage exclusion
daily_stockout_days_sum,False,excluded_same_day,Key/target/leakage exclusion
daily_days_of_supply_mean,False,excluded_same_day,Key/target/leakage exclusion
daily_fill_rate_mean,False,excluded_same_day,Key/target/leakage exclusion
daily_inventory_product_count,False,excluded_same_day,Key/target/leakage exclusion
