return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount,gross_line_value,refund_to_gross_ratio,product_name,category,business_validity,check_reason
RET-045412,730532,457,2020-09-06,defective,8,96614.84,97194.16,0.9940395595784767,SaigonFlex UM-62,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-039963,639134,504,2018-12-08,not_as_described,5,96475.99,132043.86000000002,0.7306359417242119,SaigonFlex UM-09,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-003578,54378,669,2013-04-09,wrong_size,6,95489.42,97423.38,0.9801489129200813,SaigonFlex UC-34,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-047614,767474,457,2021-07-09,wrong_size,8,95114.55,99486.96,0.9560504210803104,SaigonFlex UM-62,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-027949,443196,394,2016-11-14,wrong_size,5,94812.77,120743.45999999999,0.7852414532430991,SaigonFlex RS-01,Outdoor,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-040112,641678,626,2018-12-21,wrong_size,7,94702.36,96347.44,0.9829255452973115,SaigonFlex UC-91,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-047140,759811,407,2021-05-30,defective,5,94521.5,155685.44,0.6071312770160138,SaigonFlex UM-12,Streetwear,likely_valid_high_value_item_refund,Refund cao vì item/order gốc cũng có giá trị cao
RET-047656,768303,429,2021-07-23,defective,5,94221.47,94939.75,0.9924343596860115,SaigonFlex UM-34,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-014762,232140,826,2014-11-20,changed_mind,8,93557.18,97803.36,0.9565845181597032,HanoiStreet UM-10,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-014721,231472,826,2014-11-29,late_delivery,7,93556.43,93761.36,0.9978143448431208,HanoiStreet UM-10,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-047586,766964,200,2021-07-06,defective,7,92705.25,102820.48,0.9016224199692513,IndigoViet UM-02,Streetwear,likely_valid_full_or_near_full_refund,"Refund gần bằng giá trị mua, có thể là hoàn tiền đầy đủ"
RET-011248,175243,447,2014-05-18,wrong_size,6,92672.63,145170.8,0.6383696308072975,SaigonFlex UM-52,Streetwear,likely_valid_high_value_item_refund,Refund cao vì item/order gốc cũng có giá trị cao
