month,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,days_observed,sessions_mom_pct
2015-10-01,487114,368918,2166997,0.004190967741935484,215.64193548387095,31,-16.030897535126897
2015-11-01,402671,307956,1834798,0.004382,212.81333333333333,30,-17.33536708039597
2015-12-01,459632,353160,1931218,0.0045148387096774194,200.58709677419355,31,14.145791477409597
2016-01-01,370169,280641,1630523,0.00449,217.7258064516129,31,-19.464049500469937
2016-02-01,518619,393063,2153954,0.0045303448275862065,189.91379310344828,29,40.10330416647532
2016-03-01,779235,599083,3417276,0.004446129032258065,203.58064516129033,31,50.25191903883197
2016-04-01,1013612,771692,4399099,0.004503333333333333,211.67333333333332,30,30.077832746219045
2016-05-01,971606,746346,4098826,0.004404516129032258,214.7774193548387,31,-4.144189295312206
2016-06-01,998199,752742,4507120,0.004550333333333333,196.30666666666667,30,2.7370147981795157
2016-07-01,810690,611089,3473587,0.0043361290322580645,204.63548387096773,31,-18.784731301073233
2016-08-01,893739,679522,3861005,0.004395483870967742,205.81290322580645,31,10.244236391222294
2016-09-01,623421,476381,2702471,0.004325333333333333,187.32000000000002,30,-30.24574288466767
2016-10-01,508433,387604,2240002,0.0045435483870967745,211.48064516129034,31,-18.44467863610626
2016-11-01,421590,321782,1825925,0.004284,214.36666666666667,30,-17.080519950514617
2016-12-01,494086,373709,2012487,0.0042929032258064515,205.55161290322582,31,17.19585379159847
2017-01-01,395638,298433,1640073,0.004521935483870968,215.03225806451613,31,-19.92527616649733
2017-02-01,540461,406886,2344303,0.004587857142857143,207.41428571428574,28,36.60492672594644
2017-03-01,831046,634778,3561679,0.004425161290322581,206.82580645161292,31,53.766136687013486
2017-04-01,1061903,805792,4542250,0.004318333333333333,207.44,30,27.77908804085454
2017-05-01,1079700,821509,4638142,0.004366451612903226,207.69032258064516,31,1.6759534533756781
2017-06-01,1063972,807191,4459985,0.004357666666666666,203.88666666666668,30,-1.4567009354450322
2017-07-01,849237,640306,3701335,0.00463225806451613,212.08709677419355,31,-20.18239201783506
2017-08-01,993984,746841,4412116,0.004318064516129033,218.70967741935485,31,17.044358641933876
2017-09-01,660330,505324,2822061,0.004403333333333333,200.67999999999998,30,-33.56734112420321
2017-10-01,549823,418315,2371371,0.004679354838709677,195.7258064516129,31,-16.73511728983993
2017-11-01,446796,339013,1914039,0.0047613333333333336,217.42333333333332,30,-18.73821211553537
2017-12-01,519712,393984,2378587,0.0043851612903225805,217.84193548387097,31,16.3197521911566
2018-01-01,419092,317123,1807666,0.00448741935483871,207.84516129032258,31,-19.360722861892743
2018-02-01,561447,423057,2397314,0.004469642857142858,226.15714285714284,28,33.96748208030695
2018-03-01,874564,659817,3937703,0.0043303225806451615,207.42903225806452,31,55.76964522029684
2018-04-01,1121452,852689,5044466,0.004638000000000001,208.22,30,28.229837953540283
2018-05-01,1105896,840020,4614408,0.0047599999999999995,190.5483870967742,31,-1.3871302561322296
2018-06-01,1118682,851068,4886506,0.004424666666666666,214.25,30,1.1561665834762147
2018-07-01,887778,673819,3975869,0.004474838709677419,221.90645161290323,31,-20.640718273825808
2018-08-01,1017463,774702,4493394,0.004458387096774193,192.8709677419355,31,14.60781862132199
2018-09-01,690384,519346,3148530,0.004656666666666667,216.13,30,-32.14652522991008
2018-10-01,584858,444749,2537421,0.004486451612903226,207.80645161290323,31,-15.285116688683399
2018-11-01,475086,363922,2116463,0.004762666666666667,201.12,30,-18.76900033854372
2018-12-01,558383,423184,2502097,0.004391612903225807,208.50322580645164,31,17.53303612398598
2019-01-01,442311,335544,1892330,0.004694838709677419,206.50645161290322,31,-20.787165798385697
2019-02-01,600598,458343,2551998,0.004503928571428571,208.96428571428572,28,35.786358467232326
2019-03-01,915519,697680,4045303,0.004538709677419354,205.73225806451612,31,52.43457354170344
2019-04-01,1222814,924040,5303182,0.004436333333333333,210.16333333333333,30,33.56511443236023
2019-05-01,1163999,890847,4832194,0.004578064516129032,213.86451612903227,31,-4.8098075422754345
2019-06-01,1180536,890202,4931857,0.0044536666666666665,205.70333333333335,30,1.420705687891477
2019-07-01,960897,728867,4043897,0.004587096774193548,203.43548387096774,31,-18.60502348085954
2019-08-01,1059328,802956,4735126,0.004305806451612903,206.46451612903223,31,10.24365774895748
2019-09-01,731233,550402,3220115,0.004475333333333333,201.8,30,-30.971993565732237
2019-10-01,625489,474928,2667155,0.004506774193548387,211.23870967741934,31,-14.461054137326956
2019-11-01,503787,379570,2154615,0.004692333333333334,204.11,30,-19.457096767489112
2019-12-01,583637,447186,2549338,0.004691290322580645,212.50967741935486,31,15.84995246006744
2020-01-01,481400,371704,2024289,0.0045751612903225805,211.39999999999998,31,-17.517223890877375
2020-02-01,644245,486083,2773875,0.004782758620689655,223.3137931034483,29,33.82737847943498
2020-03-01,996533,754459,4355154,0.004597096774193548,204.17419354838708,31,54.68230254018269
2020-04-01,1296184,993128,5666762,0.004579,189.27666666666667,30,30.069350437968435
2020-05-01,1243345,965089,5469706,0.0044916129032258065,202.07096774193548,31,-4.076504570338779
2020-06-01,1262359,954531,5428353,0.004411,224.05333333333334,30,1.5292617897687322
2020-07-01,991853,754048,4381787,0.004499677419354839,227.26451612903224,31,-21.428611036955413
2020-08-01,1121333,850089,5215798,0.004463548387096774,206.86774193548385,31,13.054353820576225
2020-09-01,783769,586462,3292929,0.0044933333333333336,219.15333333333334,30,-30.103813942869785
2020-10-01,658066,509426,2739553,0.0046474193548387095,217.14193548387095,31,-16.0382714805
2020-11-01,519420,386788,2272265,0.004684,215.18333333333334,30,-21.06870739409117
2020-12-01,592575,453560,2525986,0.004338387096774194,221.56129032258065,31,14.083978283470033
2021-01-01,487749,364061,2011571,0.004621935483870967,230.4806451612903,31,-17.68991266928237
2021-02-01,655696,497314,2918632,0.004480357142857143,229.05714285714288,28,34.43307930923487
2021-03-01,1020997,782638,4486086,0.004559677419354839,223.36451612903227,31,55.71194577975158
2021-04-01,1332462,1010297,5687647,0.004352333333333333,192.52,30,30.50596622712898
2021-05-01,1288013,973727,5550200,0.004574193548387097,215.00322580645164,31,-3.335854981230235
2021-06-01,1320205,1020100,6045800,0.004527333333333333,192.77,30,2.499353655591996
2021-07-01,1040209,786342,4495761,0.004309032258064516,203.0483870967742,31,-21.208524433705367
2021-08-01,1181180,912783,5121072,0.004351612903225806,223.10967741935482,31,13.552180379135347
2021-09-01,801073,606940,3398763,0.004445333333333333,214.66333333333333,30,-32.18027734976887
2021-10-01,675976,517051,2932564,0.00419258064516129,196.8548387096774,31,-15.616179798844797
2021-11-01,552886,414988,2410355,0.004604,214.97666666666666,30,-18.209226363066144
2021-12-01,635279,480773,2702416,0.004557096774193549,185.32258064516128,31,14.902348766291794
2022-01-01,505009,384374,2322247,0.004571612903225807,208.96774193548387,31,-20.5059509286471
2022-02-01,663620,509173,2873816,0.004288571428571428,193.5,28,31.407559073204627
2022-03-01,1037755,784999,4422852,0.0045725806451612895,232.21290322580646,31,56.377896989240824
2022-04-01,1345666,1018889,5656622,0.0048723333333333336,188.44666666666666,30,29.670876073832453
2022-05-01,1300613,995127,5533820,0.004393548387096774,200.17419354838708,31,-3.348007603669856
2022-06-01,1313081,1001087,5642641,0.0044069999999999995,211.09666666666666,30,0.9586248945689491
2022-07-01,1067671,810433,4737260,0.004605806451612903,220.71935483870968,31,-18.689631485034052
2022-08-01,1180206,896768,5087267,0.004596129032258064,221.74516129032259,31,10.540231962842483
2022-09-01,816742,617741,3472503,0.004359,242.51666666666668,30,-30.796657532668025
2022-10-01,657381,498478,2779549,0.004386774193548387,208.3483870967742,31,-19.511791973475102
2022-11-01,536636,401554,2398683,0.004494,232.05333333333334,30,-18.36758287811786
2022-12-01,639278,490657,2804293,0.004304516129032258,194.2483870967742,31,19.126931476829732
