month,order_status,orders
2016-02-01,cancelled,384
2016-02-01,created,59
2016-02-01,delivered,3779
2016-02-01,paid,81
2016-02-01,returned,283
2016-02-01,shipped,117
2016-03-01,cancelled,672
2016-03-01,created,78
2016-03-01,delivered,5481
2016-03-01,paid,120
2016-03-01,returned,428
2016-03-01,shipped,145
2016-04-01,cancelled,960
2016-04-01,created,100
2016-04-01,delivered,8383
2016-04-01,paid,194
2016-04-01,returned,595
2016-04-01,shipped,194
2016-05-01,cancelled,927
2016-05-01,created,106
2016-05-01,delivered,7964
2016-05-01,paid,206
2016-05-01,returned,576
2016-05-01,shipped,186
2016-06-01,cancelled,896
2016-06-01,created,96
2016-06-01,delivered,7737
2016-06-01,paid,164
2016-06-01,returned,502
2016-06-01,shipped,200
2016-07-01,cancelled,650
2016-07-01,created,58
2016-07-01,delivered,5833
2016-07-01,paid,155
2016-07-01,returned,410
2016-07-01,shipped,130
2016-08-01,cancelled,708
2016-08-01,created,74
2016-08-01,delivered,6502
2016-08-01,paid,150
2016-08-01,returned,463
2016-08-01,shipped,168
2016-09-01,cancelled,562
2016-09-01,created,52
2016-09-01,delivered,4521
2016-09-01,paid,107
2016-09-01,returned,289
2016-09-01,shipped,119
2016-10-01,cancelled,404
2016-10-01,created,54
2016-10-01,delivered,3638
2016-10-01,paid,82
2016-10-01,returned,256
2016-10-01,shipped,114
2016-11-01,cancelled,370
2016-11-01,created,50
2016-11-01,delivered,3660
2016-11-01,paid,83
2016-11-01,returned,259
2016-11-01,shipped,78
2016-12-01,cancelled,572
2016-12-01,created,54
2016-12-01,delivered,5062
2016-12-01,paid,112
2016-12-01,returned,339
2016-12-01,shipped,133
2017-01-01,cancelled,303
2017-01-01,created,37
2017-01-01,delivered,2785
2017-01-01,paid,55
2017-01-01,returned,199
2017-01-01,shipped,72
2017-02-01,cancelled,366
2017-02-01,created,38
2017-02-01,delivered,3169
2017-02-01,paid,86
2017-02-01,returned,241
2017-02-01,shipped,76
2017-03-01,cancelled,611
2017-03-01,created,60
2017-03-01,delivered,5720
2017-03-01,paid,122
2017-03-01,returned,376
2017-03-01,shipped,160
2017-04-01,cancelled,784
2017-04-01,created,75
2017-04-01,delivered,6984
2017-04-01,paid,160
2017-04-01,returned,436
2017-04-01,shipped,180
2017-05-01,cancelled,853
2017-05-01,created,99
2017-05-01,delivered,7712
2017-05-01,paid,191
2017-05-01,returned,512
2017-05-01,shipped,186
2017-06-01,cancelled,931
2017-06-01,created,89
2017-06-01,delivered,8153
2017-06-01,paid,186
2017-06-01,returned,534
2017-06-01,shipped,185
2017-07-01,cancelled,689
2017-07-01,created,60
2017-07-01,delivered,5792
2017-07-01,paid,125
2017-07-01,returned,423
2017-07-01,shipped,145
2017-08-01,cancelled,655
2017-08-01,created,83
2017-08-01,delivered,5658
2017-08-01,paid,138
2017-08-01,returned,418
2017-08-01,shipped,139
2017-09-01,cancelled,516
2017-09-01,created,57
2017-09-01,delivered,4288
2017-09-01,paid,106
2017-09-01,returned,335
2017-09-01,shipped,108
2017-10-01,cancelled,379
2017-10-01,created,37
2017-10-01,delivered,3676
2017-10-01,paid,99
2017-10-01,returned,283
2017-10-01,shipped,116
2017-11-01,cancelled,362
2017-11-01,created,38
2017-11-01,delivered,3269
2017-11-01,paid,82
2017-11-01,returned,225
2017-11-01,shipped,91
2017-12-01,cancelled,458
2017-12-01,created,41
2017-12-01,delivered,3938
2017-12-01,paid,96
2017-12-01,returned,265
2017-12-01,shipped,94
2018-01-01,cancelled,279
2018-01-01,created,38
2018-01-01,delivered,2576
2018-01-01,paid,66
2018-01-01,returned,178
2018-01-01,shipped,71
2018-02-01,cancelled,353
2018-02-01,created,34
2018-02-01,delivered,3124
2018-02-01,paid,78
2018-02-01,returned,202
2018-02-01,shipped,68
2018-03-01,cancelled,642
2018-03-01,created,55
2018-03-01,delivered,5092
2018-03-01,paid,120
2018-03-01,returned,367
2018-03-01,shipped,142
2018-04-01,cancelled,779
2018-04-01,created,76
2018-04-01,delivered,6561
2018-04-01,paid,178
2018-04-01,returned,459
2018-04-01,shipped,167
2018-05-01,cancelled,899
2018-05-01,created,104
2018-05-01,delivered,7919
2018-05-01,paid,183
2018-05-01,returned,529
2018-05-01,shipped,207
2018-06-01,cancelled,1008
2018-06-01,created,97
2018-06-01,delivered,8774
2018-06-01,paid,225
2018-06-01,returned,541
2018-06-01,shipped,206
2018-07-01,cancelled,708
2018-07-01,created,82
2018-07-01,delivered,5887
2018-07-01,paid,162
2018-07-01,returned,453
2018-07-01,shipped,160
2018-08-01,cancelled,607
2018-08-01,created,55
2018-08-01,delivered,5269
2018-08-01,paid,115
2018-08-01,returned,351
2018-08-01,shipped,113
2018-09-01,cancelled,365
2018-09-01,created,42
2018-09-01,delivered,3332
2018-09-01,paid,79
2018-09-01,returned,228
2018-09-01,shipped,83
2018-10-01,cancelled,311
2018-10-01,created,33
2018-10-01,delivered,2585
2018-10-01,paid,60
2018-10-01,returned,195
2018-10-01,shipped,79
2018-11-01,cancelled,230
2018-11-01,created,27
2018-11-01,delivered,2024
2018-11-01,paid,44
2018-11-01,returned,139
2018-11-01,shipped,54
2018-12-01,cancelled,305
2018-12-01,created,39
2018-12-01,delivered,2597
2018-12-01,paid,66
2018-12-01,returned,161
2018-12-01,shipped,73
2019-01-01,cancelled,223
2019-01-01,created,20
2019-01-01,delivered,1930
2019-01-01,paid,45
2019-01-01,returned,111
2019-01-01,shipped,49
2019-02-01,cancelled,259
2019-02-01,created,33
2019-02-01,delivered,2286
2019-02-01,paid,57
2019-02-01,returned,155
2019-02-01,shipped,63
2019-03-01,cancelled,397
2019-03-01,created,34
2019-03-01,delivered,3213
2019-03-01,paid,92
2019-03-01,returned,213
2019-03-01,shipped,80
2019-04-01,cancelled,419
2019-04-01,created,46
2019-04-01,delivered,3594
2019-04-01,paid,92
2019-04-01,returned,275
2019-04-01,shipped,99
2019-05-01,cancelled,425
2019-05-01,created,55
2019-05-01,delivered,3769
2019-05-01,paid,87
2019-05-01,returned,274
2019-05-01,shipped,79
2019-06-01,cancelled,465
2019-06-01,created,52
2019-06-01,delivered,3813
2019-06-01,paid,95
2019-06-01,returned,259
2019-06-01,shipped,92
2019-07-01,cancelled,339
2019-07-01,created,49
2019-07-01,delivered,3053
2019-07-01,paid,80
2019-07-01,returned,198
2019-07-01,shipped,65
2019-08-01,cancelled,405
2019-08-01,created,39
2019-08-01,delivered,3495
2019-08-01,paid,102
2019-08-01,returned,250
2019-08-01,shipped,100
2019-09-01,cancelled,290
2019-09-01,created,35
2019-09-01,delivered,2370
2019-09-01,paid,63
2019-09-01,returned,179
2019-09-01,shipped,89
2019-10-01,cancelled,206
2019-10-01,created,23
2019-10-01,delivered,1891
2019-10-01,paid,51
2019-10-01,returned,130
2019-10-01,shipped,44
2019-11-01,cancelled,174
2019-11-01,created,27
2019-11-01,delivered,1630
2019-11-01,paid,36
2019-11-01,returned,120
2019-11-01,shipped,44
2019-12-01,cancelled,258
2019-12-01,created,38
2019-12-01,delivered,2215
2019-12-01,paid,59
2019-12-01,returned,136
2019-12-01,shipped,68
2020-01-01,cancelled,142
2020-01-01,created,15
2020-01-01,delivered,1236
2020-01-01,paid,36
2020-01-01,returned,84
2020-01-01,shipped,24
2020-02-01,cancelled,185
2020-02-01,created,22
2020-02-01,delivered,1475
2020-02-01,paid,31
2020-02-01,returned,100
2020-02-01,shipped,37
2020-03-01,cancelled,343
2020-03-01,created,39
2020-03-01,delivered,2930
2020-03-01,paid,68
2020-03-01,returned,193
2020-03-01,shipped,62
2020-04-01,cancelled,432
2020-04-01,created,50
2020-04-01,delivered,3790
2020-04-01,paid,87
2020-04-01,returned,266
2020-04-01,shipped,82
2020-05-01,cancelled,402
2020-05-01,created,53
2020-05-01,delivered,3336
2020-05-01,paid,80
2020-05-01,returned,261
2020-05-01,shipped,89
2020-06-01,cancelled,351
2020-06-01,created,31
2020-06-01,delivered,2896
2020-06-01,paid,84
2020-06-01,returned,183
2020-06-01,shipped,64
2020-07-01,cancelled,298
2020-07-01,created,21
2020-07-01,delivered,2658
2020-07-01,paid,67
2020-07-01,returned,189
2020-07-01,shipped,60
2020-08-01,cancelled,365
2020-08-01,created,38
2020-08-01,delivered,2913
2020-08-01,paid,68
2020-08-01,returned,205
2020-08-01,shipped,85
2020-09-01,cancelled,234
2020-09-01,created,26
2020-09-01,delivered,2053
2020-09-01,paid,43
2020-09-01,returned,137
2020-09-01,shipped,50
2020-10-01,cancelled,189
2020-10-01,created,19
2020-10-01,delivered,1640
2020-10-01,paid,44
2020-10-01,returned,108
2020-10-01,shipped,42
2020-11-01,cancelled,125
2020-11-01,created,13
2020-11-01,delivered,1245
2020-11-01,paid,41
2020-11-01,returned,108
2020-11-01,shipped,31
2020-12-01,cancelled,187
2020-12-01,created,24
2020-12-01,delivered,1803
2020-12-01,paid,33
2020-12-01,returned,116
2020-12-01,shipped,44
2021-01-01,cancelled,138
2021-01-01,created,24
2021-01-01,delivered,1057
2021-01-01,paid,42
2021-01-01,returned,70
2021-01-01,shipped,41
2021-02-01,cancelled,200
2021-02-01,created,44
2021-02-01,delivered,1501
2021-02-01,paid,46
2021-02-01,returned,119
2021-02-01,shipped,66
2021-03-01,cancelled,368
2021-03-01,created,85
2021-03-01,delivered,3123
2021-03-01,paid,103
2021-03-01,returned,212
2021-03-01,shipped,115
2021-04-01,cancelled,398
2021-04-01,created,69
2021-04-01,delivered,3400
2021-04-01,paid,125
2021-04-01,returned,225
2021-04-01,shipped,129
2021-05-01,cancelled,336
2021-05-01,created,78
2021-05-01,delivered,3328
2021-05-01,paid,141
2021-05-01,returned,254
2021-05-01,shipped,130
2021-06-01,cancelled,348
2021-06-01,created,83
2021-06-01,delivered,3072
2021-06-01,paid,113
2021-06-01,returned,223
2021-06-01,shipped,124
2021-07-01,cancelled,306
2021-07-01,created,67
2021-07-01,delivered,2554
2021-07-01,paid,90
2021-07-01,returned,167
2021-07-01,shipped,108
2021-08-01,cancelled,286
2021-08-01,created,73
2021-08-01,delivered,2512
2021-08-01,paid,85
2021-08-01,returned,193
2021-08-01,shipped,76
2021-09-01,cancelled,248
2021-09-01,created,65
2021-09-01,delivered,1847
2021-09-01,paid,67
2021-09-01,returned,126
2021-09-01,shipped,78
2021-10-01,cancelled,170
2021-10-01,created,36
2021-10-01,delivered,1404
2021-10-01,paid,56
2021-10-01,returned,113
2021-10-01,shipped,52
2021-11-01,cancelled,150
2021-11-01,created,34
2021-11-01,delivered,1253
2021-11-01,paid,42
2021-11-01,returned,98
2021-11-01,shipped,53
2021-12-01,cancelled,201
2021-12-01,created,42
2021-12-01,delivered,1690
2021-12-01,paid,71
2021-12-01,returned,118
2021-12-01,shipped,64
2022-01-01,cancelled,150
2022-01-01,created,35
2022-01-01,delivered,1329
2022-01-01,paid,45
2022-01-01,returned,100
2022-01-01,shipped,60
2022-02-01,cancelled,200
2022-02-01,created,42
2022-02-01,delivered,1720
2022-02-01,paid,59
2022-02-01,returned,111
2022-02-01,shipped,50
2022-03-01,cancelled,388
2022-03-01,created,93
2022-03-01,delivered,3255
2022-03-01,paid,138
2022-03-01,returned,223
2022-03-01,shipped,134
2022-04-01,cancelled,432
2022-04-01,created,96
2022-04-01,delivered,3446
2022-04-01,paid,130
2022-04-01,returned,246
2022-04-01,shipped,139
2022-05-01,cancelled,387
2022-05-01,created,83
2022-05-01,delivered,3158
2022-05-01,paid,120
2022-05-01,returned,218
2022-05-01,shipped,110
2022-06-01,cancelled,397
2022-06-01,created,86
2022-06-01,delivered,3111
2022-06-01,paid,130
2022-06-01,returned,212
2022-06-01,shipped,132
2022-07-01,cancelled,286
2022-07-01,created,75
2022-07-01,delivered,2383
2022-07-01,paid,79
2022-07-01,returned,212
2022-07-01,shipped,87
2022-08-01,cancelled,310
2022-08-01,created,65
2022-08-01,delivered,2508
2022-08-01,paid,101
2022-08-01,returned,184
2022-08-01,shipped,106
2022-09-01,cancelled,240
2022-09-01,created,57
2022-09-01,delivered,2033
2022-09-01,paid,84
2022-09-01,returned,165
2022-09-01,shipped,64
2022-10-01,cancelled,205
2022-10-01,created,42
2022-10-01,delivered,1597
2022-10-01,paid,74
2022-10-01,returned,132
2022-10-01,shipped,47
2022-11-01,cancelled,146
2022-11-01,created,33
2022-11-01,delivered,1310
2022-11-01,paid,53
2022-11-01,returned,96
2022-11-01,shipped,65
2022-12-01,cancelled,243
2022-12-01,created,48
2022-12-01,delivered,1838
2022-12-01,paid,77
2022-12-01,returned,123
2022-12-01,shipped,71
