date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,sessions_rolling_7d,sessions_rolling_30d,sessions_rolling_90d
2013-03-13,23166,18652,76524,0.00413,287.0,20369.428571428572,17174.166666666668,13538.361111111111
2013-03-14,18997,14391,77150,0.0056,129.7,20196.85714285714,17295.133333333335,13613.13698630137
2013-03-15,20137,15797,106673,0.00347,171.3,20026.85714285714,17521.5,13701.297297297297
2013-03-16,20761,16647,90756,0.00464,254.5,20129.0,17640.866666666665,13795.426666666666
2013-03-17,17101,12496,79841,0.00344,161.6,19785.571428571428,17756.466666666667,13838.921052631578
2013-03-18,22860,18012,120159,0.00396,174.6,19982.714285714286,18006.466666666667,13956.077922077922
2013-03-19,17631,14247,85400,0.00525,214.5,20093.285714285714,18105.433333333334,14003.192307692309
2013-03-20,21762,16804,116234,0.00568,202.2,19892.714285714286,18387.366666666665,14101.405063291139
2013-03-21,22061,17031,119803,0.00578,171.4,20330.428571428572,18581.7,14200.9
2013-03-22,20729,16912,71130,0.00372,195.9,20415.0,18794.433333333334,14281.493827160493
2013-03-23,21609,15589,92824,0.00402,223.6,20536.14285714286,19041.6,14370.853658536585
2013-03-24,20504,16771,96571,0.00439,234.1,21022.285714285714,19200.066666666666,14444.746987951807
2013-03-25,16659,12105,60697,0.00368,189.0,20136.428571428572,19270.7,14471.107142857143
2013-03-26,20555,16341,109308,0.00577,242.7,20554.14285714286,19497.266666666666,14542.682352941176
2013-03-27,16879,12285,56985,0.00543,115.8,19856.571428571428,19604.033333333333,14569.848837209302
2013-03-28,18569,14393,98414,0.00334,221.0,19357.714285714286,19695.533333333333,14615.816091954022
2013-03-29,19856,14231,93944,0.00555,218.4,19233.0,19827.133333333335,14675.363636363636
2013-03-30,21034,15942,82344,0.00472,169.5,19150.85714285714,20018.8,14746.808988764045
2013-03-31,21610,16402,74076,0.00408,188.6,19308.85714285714,20053.366666666665,14823.066666666668
2013-04-01,24812,17641,117628,0.00551,178.5,20473.571428571428,20271.266666666666,14990.31111111111
2013-04-02,26607,19633,99501,0.00523,246.4,21338.14285714286,20522.333333333332,15169.766666666666
2013-04-03,26624,19598,107204,0.00518,275.2,22730.285714285714,20684.466666666667,15353.633333333333
2013-04-04,21608,16833,111095,0.00536,192.1,23164.428571428572,20699.1,15482.91111111111
2013-04-05,32435,24802,158360,0.00421,269.6,24961.428571428572,21132.866666666665,15729.711111111112
2013-04-06,32500,24533,108393,0.00473,156.1,26599.428571428572,21542.7,15984.766666666666
2013-04-07,27260,21972,126098,0.00463,109.8,27406.571428571428,21740.466666666667,16174.288888888888
2013-04-08,30848,21771,155647,0.00484,119.5,28268.85714285714,22100.533333333333,16411.977777777778
2013-04-09,25156,17669,137296,0.0034,312.2,28061.571428571428,22288.9,16589.68888888889
2013-04-10,29194,23157,116383,0.00481,293.9,28428.714285714286,22546.033333333333,16804.21111111111
2013-04-11,29054,21204,96574,0.00493,251.0,29492.428571428572,22952.6,17022.455555555556
2013-04-12,24892,19582,95949,0.00454,168.3,28414.85714285714,23010.133333333335,17202.033333333333
2013-04-13,27517,21818,149988,0.00399,156.1,27703.0,23294.133333333335,17409.8
2013-04-14,23814,16876,78359,0.00341,252.7,27210.714285714286,23416.7,17582.955555555556
2013-04-15,30902,22373,159594,0.0049,197.6,27218.428571428572,23754.733333333334,17836.28888888889
2013-04-16,27551,21877,99161,0.00504,239.0,27560.571428571428,24103.066666666666,18038.266666666666
2013-04-17,29585,21004,94904,0.00452,105.9,27616.428571428572,24327.233333333334,18257.88888888889
2013-04-18,24098,19494,113622,0.0055,206.2,26908.428571428572,24542.8,18414.077777777777
2013-04-19,27256,21981,90395,0.00392,109.1,27246.14285714286,24725.933333333334,18619.744444444445
2013-04-20,21636,15934,90602,0.00495,204.7,26406.0,24711.766666666666,18746.033333333333
2013-04-21,24267,19025,133036,0.00363,309.0,26470.714285714286,24829.7,18900.78888888889
2013-04-22,28085,22427,141532,0.00488,302.2,26068.285714285714,25045.566666666666,19100.62222222222
2013-04-23,27068,19210,88898,0.00466,227.3,25999.285714285714,25264.366666666665,19297.966666666667
2013-04-24,33819,25856,134590,0.00461,110.1,26604.14285714286,25836.366666666665,19565.977777777778
2013-04-25,25153,20499,119550,0.00575,207.3,26754.85714285714,25989.633333333335,19727.67777777778
2013-04-26,25454,18300,131458,0.00556,204.8,26497.428571428572,26275.466666666667,19896.87777777778
2013-04-27,23854,17383,104436,0.00467,203.7,26814.285714285714,26451.633333333335,20066.32222222222
2013-04-28,26593,20990,92764,0.00388,199.8,27146.571428571428,26676.2,20254.01111111111
2013-04-29,30100,21412,127202,0.00508,142.8,27434.428571428572,26978.4,20492.477777777778
2013-04-30,26638,20421,114824,0.00385,250.7,27373.0,27146.0,20692.944444444445
2013-05-01,25484,20167,121645,0.00389,319.7,26182.285714285714,27168.4,20877.044444444444
2013-05-02,27523,21551,148318,0.00521,270.6,26520.85714285714,27198.933333333334,21007.766666666666
2013-05-03,27201,20147,109468,0.00408,186.8,26770.428571428572,27218.166666666668,21143.033333333333
2013-05-04,26616,18955,87588,0.00566,226.5,27165.0,27385.1,21279.077777777777
2013-05-05,26820,19885,116224,0.00383,209.1,27197.428571428572,27197.933333333334,21403.48888888889
2013-05-06,24933,19563,109347,0.00459,111.7,26459.285714285714,26945.7,21523.0
2013-05-07,28589,21318,147402,0.00555,197.7,26738.0,26990.0,21683.955555555556
2013-05-08,28654,20921,130897,0.00408,302.5,27190.85714285714,26916.866666666665,21838.32222222222
2013-05-09,26771,19690,142781,0.00509,182.8,27083.428571428572,26970.7,21975.033333333333
2013-05-10,26830,19447,124787,0.00391,153.5,27030.428571428572,26891.9,22111.166666666668
2013-05-11,28668,21307,137833,0.00495,215.2,27323.571428571428,26879.033333333333,22245.233333333334
2013-05-12,27438,22374,128020,0.00428,301.0,27411.85714285714,26963.9,22382.733333333334
2013-05-13,26357,19629,90559,0.00574,131.4,27615.285714285714,26925.233333333334,22504.833333333332
2013-05-14,26056,20140,115695,0.00322,116.0,27253.428571428572,26999.966666666667,22646.055555555555
2013-05-15,29084,22687,146585,0.00436,188.5,27314.85714285714,26939.366666666665,22778.32222222222
2013-05-16,26638,19759,113183,0.00522,314.0,27295.85714285714,26908.933333333334,22922.82222222222
2013-05-17,24122,18498,132379,0.00353,308.1,26909.0,26726.833333333332,23020.17777777778
2013-05-18,23202,17262,103657,0.00445,270.5,26128.14285714286,26696.966666666667,23115.066666666666
2013-05-19,25148,20307,89419,0.00518,105.8,25801.0,26626.7,23246.666666666668
2013-05-20,23328,18639,95417,0.00444,116.7,25368.285714285714,26683.1,23325.522222222222
2013-05-21,28407,22048,108703,0.00491,277.6,25704.14285714286,26821.1,23481.744444444445
2013-05-22,25706,19005,88509,0.00537,198.2,25221.571428571428,26741.8,23609.655555555557
2013-05-23,22398,17580,109248,0.00403,121.3,24615.85714285714,26586.133333333335,23683.522222222222
2013-05-24,25714,20338,120745,0.00445,116.7,24843.285714285714,26315.966666666667,23807.67777777778
2013-05-25,26078,21237,92476,0.00385,141.3,25254.14285714286,26346.8,23944.566666666666
2013-05-26,29842,21470,103585,0.00491,317.6,25924.714285714286,26493.066666666666,24124.18888888889
2013-05-27,25522,20808,123734,0.005,267.2,26238.14285714286,26548.666666666668,24231.944444444445
2013-05-28,25369,18149,102736,0.00391,253.4,25804.14285714286,26507.866666666665,24337.066666666666
2013-05-29,23853,18613,85854,0.00337,120.5,25539.428571428572,26299.633333333335,24432.277777777777
2013-05-30,27287,20624,123833,0.00446,173.2,26237.85714285714,26321.266666666666,24506.87777777778
2013-05-31,26902,19521,103623,0.00321,257.9,26407.571428571428,26368.533333333333,24602.733333333334
2013-06-01,25458,18115,131842,0.00372,186.4,26319.0,26299.7,24673.655555555557
2013-06-02,23735,17119,76080,0.00346,260.9,25446.571428571428,26184.166666666668,24695.6
2013-06-03,25536,19209,97821,0.00537,174.4,25448.571428571428,26148.166666666668,24744.12222222222
2013-06-04,27334,19831,110854,0.00401,310.6,25729.285714285714,26165.3,24832.033333333333
2013-06-05,28445,21988,137505,0.0039,209.5,26385.285714285714,26282.366666666665,24923.588888888888
2013-06-06,26397,18897,125873,0.00512,154.8,26258.14285714286,26209.3,24979.922222222223
2013-06-07,26823,18932,134357,0.00399,224.4,26246.85714285714,26148.266666666666,25055.222222222223
2013-06-08,27553,21069,147243,0.00562,207.9,26546.14285714286,26174.333333333332,25144.644444444446
2013-06-09,24891,19205,125165,0.00507,280.4,26711.285714285714,26109.7,25182.544444444444
2013-06-10,28861,23567,100856,0.00478,231.8,27186.285714285714,26116.133333333335,25315.922222222223
2013-06-11,23368,17790,126304,0.00561,172.9,26619.714285714286,25980.466666666667,25318.166666666668
2013-06-12,25933,21079,127206,0.00527,116.5,26260.85714285714,25966.333333333332,25395.233333333334
2013-06-13,27752,19777,151236,0.00347,106.4,26454.428571428572,26022.866666666665,25479.844444444443
2013-06-14,27755,21197,126500,0.00556,219.8,26587.571428571428,25978.566666666666,25557.555555555555
2013-06-15,26928,21083,98828,0.00495,269.9,26498.285714285714,25988.233333333334,25666.744444444445
2013-06-16,26115,18984,119810,0.00417,313.2,26673.14285714286,26054.666666666668,25702.911111111112
2013-06-17,28092,21312,92163,0.00378,152.1,26563.285714285714,26217.666666666668,25819.144444444446
2013-06-18,25085,19903,133701,0.00478,191.8,26808.571428571428,26215.566666666666,25856.066666666666
2013-06-19,28632,23372,112269,0.00514,130.0,27194.14285714286,26392.366666666665,25929.077777777777
2013-06-20,25557,20425,116849,0.00534,122.0,26880.571428571428,26297.366666666665,25982.722222222223
2013-06-21,29053,21451,103139,0.00566,139.1,27066.0,26408.933333333334,26065.433333333334
2013-06-22,26367,21250,113536,0.00407,255.4,26985.85714285714,26541.233333333334,26130.577777777777
2013-06-23,27355,21580,146783,0.00397,253.1,27163.0,26595.933333333334,26249.422222222223
2013-06-24,26497,21120,97404,0.00364,178.5,26935.14285714286,26609.9,26315.444444444445
2013-06-25,29694,21606,125033,0.00538,177.8,27593.571428571428,26604.966666666667,26457.833333333332
2013-06-26,27207,20220,127226,0.00399,190.0,27390.0,26661.133333333335,26553.81111111111
2013-06-27,26545,20261,100022,0.00427,186.3,27531.14285714286,26700.333333333332,26628.133333333335
2013-06-28,23891,17776,91798,0.00447,121.5,26793.714285714286,26701.6,26659.87777777778
2013-06-29,28947,21255,158795,0.00327,305.7,27162.285714285714,26756.933333333334,26741.4
2013-06-30,26808,20585,139193,0.0058,210.3,27084.14285714286,26753.8,26763.577777777777
2013-07-01,20717,14990,103616,0.00537,166.5,26258.428571428572,26595.766666666666,26698.133333333335
2013-07-02,22158,16944,96216,0.00543,318.6,25181.85714285714,26543.2,26648.51111111111
2013-07-03,20624,16244,90498,0.00532,317.6,24241.428571428572,26379.466666666667,26637.577777777777
2013-07-04,20224,15518,96547,0.00434,133.9,23338.428571428572,26142.466666666667,26501.9
2013-07-05,22308,16026,110365,0.00435,162.3,23112.285714285714,25937.9,26388.655555555557
2013-07-06,19852,14493,104084,0.00367,171.3,21813.0,25719.733333333334,26306.344444444443
2013-07-07,19573,15181,74366,0.00554,219.4,20779.428571428572,25478.066666666666,26181.066666666666
2013-07-08,18865,14238,78747,0.00327,160.0,20514.85714285714,25188.466666666667,26111.166666666668
2013-07-09,22779,18244,96006,0.00444,299.1,20603.571428571428,25118.066666666666,26039.88888888889
2013-07-10,22911,17844,91089,0.00504,214.5,20930.285714285714,24919.733333333334,25971.633333333335
2013-07-11,22159,15665,121194,0.00486,156.7,21206.714285714286,24879.433333333334,25941.266666666666
2013-07-12,21395,17049,79697,0.0046,106.4,21076.285714285714,24728.166666666668,25873.244444444445
2013-07-13,20990,16293,82169,0.00342,184.3,21238.85714285714,24502.766666666666,25841.866666666665
2013-07-14,19989,14732,82309,0.00387,208.7,21298.285714285714,24243.9,25720.61111111111
2013-07-15,18587,13497,84767,0.00407,199.4,21258.571428571428,23965.866666666665,25621.01111111111
2013-07-16,19711,16037,88626,0.00484,256.8,20820.285714285714,23752.4,25511.3
2013-07-17,19882,14587,66793,0.00416,180.4,20387.571428571428,23478.733333333334,25464.455555555556
2013-07-18,19517,13750,66929,0.00401,219.2,20010.14285714286,23293.133333333335,25378.466666666667
2013-07-19,21059,16557,96682,0.00435,183.6,19962.14285714286,23040.7,25372.055555555555
2013-07-20,21432,15474,75600,0.00475,172.1,20025.285714285714,22903.2,25340.555555555555
2013-07-21,22930,16061,97731,0.00555,187.7,20445.428571428572,22699.1,25283.277777777777
2013-07-22,19228,13486,71073,0.00429,107.5,20537.0,22461.133333333335,25196.166666666668
2013-07-23,20992,16978,97061,0.00414,201.3,20720.0,22249.033333333333,25053.644444444446
2013-07-24,23873,18037,83203,0.00565,202.2,21290.14285714286,22161.566666666666,25039.422222222223
2013-07-25,24318,18975,100129,0.00497,186.2,21976.0,21982.366666666665,25026.8
2013-07-26,20769,14594,72595,0.00562,249.5,21934.571428571428,21767.766666666666,24992.522222222222
2013-07-27,18198,12889,70117,0.00462,279.9,21472.571428571428,21489.533333333333,24899.244444444445
2013-07-28,25026,18160,120386,0.00397,136.1,21772.0,21527.366666666665,24842.866666666665
2013-07-29,20760,15605,109067,0.0045,211.4,21990.85714285714,21254.466666666667,24777.555555555555
2013-07-30,22570,17674,74423,0.00426,112.1,22216.285714285714,21113.2,24745.17777777778
2013-07-31,21645,16539,81092,0.00565,219.7,21898.0,21144.133333333335,24679.866666666665
2013-08-01,23532,17995,95876,0.004,186.4,21785.714285714286,21189.933333333334,24639.1
2013-08-02,22089,17760,76290,0.00367,144.5,21974.285714285714,21238.766666666666,24588.8
2013-08-03,19760,15958,85952,0.0044,205.7,22197.428571428572,21223.3,24510.355555555554
2013-08-04,22135,16046,73001,0.00542,158.4,21784.428571428572,21217.533333333333,24479.266666666666
2013-08-05,25518,20607,95149,0.00565,188.0,22464.14285714286,21406.4,24445.144444444446
2013-08-06,21270,15427,110319,0.00402,315.4,22278.428571428572,21462.966666666667,24363.1
2013-08-07,21729,17596,106146,0.00321,193.3,22290.428571428572,21558.433333333334,24307.077777777777
2013-08-08,25048,20133,88852,0.00572,312.2,22507.0,21634.066666666666,24287.277777777777
2013-08-09,21871,16990,105802,0.00368,317.0,22475.85714285714,21599.4,24211.755555555555
2013-08-10,22931,17591,107729,0.00561,223.1,22928.85714285714,21625.133333333335,24161.67777777778
2013-08-11,20544,15209,90834,0.00475,235.5,22701.571428571428,21596.766666666666,24097.088888888888
2013-08-12,24576,17742,103910,0.00536,219.8,22567.0,21716.3,24080.644444444446
2013-08-13,19843,14706,70310,0.00566,283.4,22363.14285714286,21711.433333333334,23977.966666666667
2013-08-14,23377,16422,106286,0.00503,244.7,22598.571428571428,21871.1,23941.733333333334
2013-08-15,24562,17671,104078,0.00479,110.5,22529.14285714286,22032.8,23946.62222222222
2013-08-16,21594,15178,70937,0.0042,127.9,22489.571428571428,22089.866666666665,23928.755555555555
2013-08-17,25258,19092,110262,0.0049,127.6,22822.0,22281.233333333334,23929.977777777778
2013-08-18,24646,19117,120067,0.00336,285.5,23408.0,22400.8,23944.62222222222
2013-08-19,23836,16878,127242,0.00558,162.3,23302.285714285714,22480.933333333334,23893.833333333332
2013-08-20,23145,16573,76874,0.00421,177.2,23774.0,22488.1,23865.37777777778
2013-08-21,22174,17667,88785,0.00393,127.8,23602.14285714286,22586.3,23862.88888888889
2013-08-22,20674,16052,88395,0.00368,108.9,23046.714285714286,22575.7,23806.88888888889
2013-08-23,21969,16007,73448,0.00484,146.4,23100.285714285714,22512.233333333334,23761.233333333334
2013-08-24,22020,16468,117994,0.0054,253.3,22637.714285714286,22435.633333333335,23674.32222222222
2013-08-25,23027,18302,124556,0.00326,316.9,22406.428571428572,22510.9,23646.6
2013-08-26,23617,17269,78791,0.00429,183.7,22375.14285714286,22691.533333333333,23627.133333333335
2013-08-27,23901,18422,99962,0.00322,233.3,22483.14285714286,22654.033333333333,23627.666666666668
2013-08-28,21366,17094,107444,0.00472,134.2,22367.714285714286,22674.233333333334,23561.87777777778
2013-08-29,23147,16818,83676,0.00408,183.8,22721.0,22693.466666666667,23520.155555555557
2013-08-30,26500,20681,114458,0.00412,231.9,23368.285714285714,22855.3,23531.733333333334
2013-08-31,23963,18130,80783,0.00437,274.4,23645.85714285714,22869.666666666668,23534.266666666666
2013-09-01,17091,12233,74574,0.00518,106.8,22797.85714285714,22703.066666666666,23440.433333333334
2013-09-02,15376,12350,50005,0.00401,157.3,21620.571428571428,22556.933333333334,23307.566666666666
2013-09-03,15581,10983,59990,0.0041,202.7,20432.0,22338.466666666667,23164.633333333335
2013-09-04,16020,12505,55806,0.00437,176.3,19668.285714285714,22021.866666666665,23049.333333333332
2013-09-05,16582,13189,57021,0.00488,181.5,18730.428571428572,21865.6,22935.544444444444
2013-09-06,16237,13287,87609,0.00406,224.6,17264.285714285714,21682.533333333333,22809.81111111111
2013-09-07,15613,12209,55336,0.00413,318.7,16071.42857142857,21368.033333333333,22706.722222222223
2013-09-08,16962,13239,74004,0.00329,119.6,16053.0,21204.4,22574.51111111111
2013-09-09,18127,13415,88280,0.0048,240.7,16446.0,21044.266666666666,22516.277777777777
2013-09-10,17160,14066,72179,0.00438,268.7,16671.571428571428,20931.466666666667,22418.8
2013-09-11,16910,11894,65138,0.00501,207.1,16798.714285714286,20675.933333333334,22298.333333333332
2013-09-12,15632,11865,60436,0.00503,296.5,16663.0,20535.566666666666,22163.633333333335
2013-09-13,17916,12765,59697,0.00367,103.5,16902.85714285714,20353.533333333333,22063.5
2013-09-14,16694,12421,90074,0.00564,308.3,17057.285714285714,20091.266666666666,21958.82222222222
2013-09-15,15207,11403,64405,0.00553,177.3,16806.571428571428,19878.366666666665,21815.655555555557
2013-09-16,16977,12773,84823,0.00353,102.7,16642.285714285714,19602.333333333332,21725.566666666666
2013-09-17,19210,15448,69626,0.0057,203.0,16935.14285714286,19421.133333333335,21620.87777777778
2013-09-18,19581,14167,80144,0.00458,158.9,17316.714285714286,19279.3,21554.477777777778
2013-09-19,15000,11585,73236,0.00538,238.9,17226.428571428572,19007.8,21398.333333333332
2013-09-20,18009,13483,64698,0.00462,111.3,17239.714285714286,18868.966666666667,21305.466666666667
2013-09-21,16298,12409,85777,0.00417,271.6,17183.14285714286,18723.1,21182.61111111111
2013-09-22,17457,13570,77141,0.00483,315.5,17504.571428571428,18572.7,21082.166666666668
2013-09-23,13116,10363,70856,0.00407,179.1,16953.0,18275.9,20897.966666666667
2013-09-24,18830,14326,90846,0.00449,140.7,16898.714285714286,18136.0,20804.88888888889
2013-09-25,16433,12462,72743,0.00541,206.6,16449.0,17896.533333333333,20692.533333333333
2013-09-26,16255,11501,53823,0.00555,165.9,16628.285714285714,17641.666666666668,20607.68888888889
2013-09-27,15631,12772,85398,0.00532,292.3,16288.57142857143,17450.5,20459.733333333334
2013-09-28,19359,15652,74052,0.00382,154.5,16725.85714285714,17324.233333333334,20376.966666666667
2013-09-29,19815,14640,88791,0.00538,281.9,17062.714285714286,17101.4,20366.944444444445
2013-09-30,17778,13505,90690,0.00535,226.8,17728.714285714286,16895.233333333334,20318.277777777777
2013-10-01,13710,9680,52584,0.00324,209.8,16997.285714285714,16782.533333333333,20241.455555555556
2013-10-02,12941,9851,71024,0.00539,205.0,16498.428571428572,16701.366666666665,20160.533333333333
2013-10-03,13080,9748,44993,0.00499,125.5,16044.857142857143,16618.0,20058.0
2013-10-04,15477,12022,78604,0.00375,156.7,16022.857142857143,16599.9,20009.38888888889
2013-10-05,13994,10098,68009,0.00564,314.4,15256.42857142857,16513.633333333335,19947.4
2013-10-06,14105,11490,70993,0.00435,122.9,14440.714285714286,16442.566666666666,19894.51111111111
2013-10-07,12570,9552,45109,0.00325,181.8,13696.714285714286,16341.133333333333,19781.077777777777
2013-10-08,13093,10025,58429,0.00339,138.1,13608.57142857143,16212.166666666666,19671.98888888889
2013-10-09,12218,9764,50149,0.00469,209.6,13505.285714285714,16015.2,19561.533333333333
2013-10-10,13055,10029,43148,0.00534,176.8,13501.714285714286,15878.366666666667,19468.866666666665
2013-10-11,13725,9778,64212,0.00375,220.2,13251.42857142857,15772.2,19388.144444444446
2013-10-12,13023,10257,64771,0.0055,256.2,13112.714285714286,15685.233333333334,19310.744444444445
2013-10-13,13045,9157,51450,0.00425,160.5,12961.285714285714,15522.866666666667,19249.166666666668
2013-10-14,14459,11334,50446,0.00413,231.0,13231.142857142857,15448.366666666667,19190.81111111111
2013-10-15,13895,11304,65905,0.00361,224.3,13345.714285714286,15404.633333333333,19124.28888888889
2013-10-16,12929,9667,64283,0.00423,261.5,13447.285714285714,15269.7,19051.088888888888
2013-10-17,12216,9304,57228,0.00462,144.0,13327.42857142857,15036.566666666668,18952.833333333332
2013-10-18,12323,9163,60959,0.00406,231.9,13127.142857142857,14794.633333333333,18851.62222222222
2013-10-19,11963,9407,54624,0.00537,276.6,12975.714285714286,14693.4,18729.766666666666
2013-10-20,14009,10602,54466,0.00482,314.7,13113.42857142857,14560.066666666668,18671.777777777777
