table,group,column,dtype,non_null,missing,missing_pct,unique_values,sample_values
reviews,transaction,review_id,str,113551,0,0.0,113551,REV-0000001 | REV-0000002 | REV-0000003
reviews,transaction,order_id,int64,113551,0,0.0,111369,1 | 3 | 10
reviews,transaction,product_id,int64,113551,0,0.0,1412,2400 | 396 | 1431
reviews,transaction,customer_id,int64,113551,0,0.0,48676,58578 | 58811 | 49101
reviews,transaction,review_date,str,113551,0,0.0,3825,2012-07-24 | 2012-08-03 | 2012-07-23
reviews,transaction,rating,int64,113551,0,0.0,5,5 | 5 | 5
reviews,transaction,review_title,str,113551,0,0.0,18,Highly recommend | Very satisfied | Great quality
sales,analytical,Date,str,3833,0,0.0,3833,2012-07-04 | 2012-07-05 | 2012-07-06
sales,analytical,Revenue,float64,3833,0,0.0,3833,5123547.94 | 2751773.45 | 3054029.42
sales,analytical,COGS,float64,3833,0,0.0,3833,3982991.19 | 2150580.23 | 2517632.84
sample_submission,analytical,Date,str,548,0,0.0,548,2023-01-01 | 2023-01-02 | 2023-01-03
sample_submission,analytical,Revenue,float64,548,0,0.0,548,2665507.2 | 1280007.89 | 1015899.51
sample_submission,analytical,COGS,float64,548,0,0.0,548,2518885.15 | 1136463.0 | 822721.12
shipments,transaction,order_id,int64,566067,0,0.0,566067,1 | 2 | 3
shipments,transaction,ship_date,str,566067,0,0.0,3831,2012-07-07 | 2012-07-06 | 2012-07-04
shipments,transaction,delivery_date,str,566067,0,0.0,3831,2012-07-11 | 2012-07-10 | 2012-07-07
shipments,transaction,shipping_fee,float64,566067,0,0.0,1856,1.37 | 2.6 | 2.38
web_traffic,operational,date,str,3652,0,0.0,3652,2013-01-01 | 2013-01-02 | 2013-01-03
web_traffic,operational,sessions,int64,3652,0,0.0,3447,9760 | 10456 | 10076
web_traffic,operational,unique_visitors,int64,3652,0,0.0,3382,7253 | 8151 | 7458
web_traffic,operational,page_views,int64,3652,0,0.0,3620,39093 | 47611 | 36963
web_traffic,operational,bounce_rate,float64,3652,0,0.0,261,0.00514 | 0.00406 | 0.00401
web_traffic,operational,avg_session_duration_sec,float64,3652,0,0.0,1771,102.9 | 120.5 | 263.6
web_traffic,operational,traffic_source,str,3652,0,0.0,6,organic_search | organic_search | direct
